pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0.000164826108455579,0.00408942202835333,0.625232968952232,2.635971326532,0,130,LILRA3|LILRB1|MICA|SLAMF7|SLAMF6|CD300E|LILRB3|CD40|SIGLEC10|CRTAM|CD300LF|CD8B|ITGB1|LILRB4|SIGLEC5|LILRB2|CD247|FCGR1A|SH2D1A|CD200R1|HLA-E|HLA-F|CD3E|CD300C|HLA-B|CD3D|SIGLEC7|HLA-A|LILRA5|SIGLEC11|HLA-G|HLA-C|CLEC4G|IFITM1|CD96|LILRA6|FCGR3A|LILRB5|CD300A|ITGB2|LAIR1|CD8A|ICAM1|TREM1|OSCAR|CD33|RAET1E|ITGAL|HCST|CD3G|PILRA|MICB|SIGLEC8|B2M|SELL|SIGLEC1|KLRB1|LAIR2|NCR3|TYROBP|CD200|LILRA2|CD40LG|SIGLEC12|JAML|NCR1|SIGLEC9|COL17A1|LILRA1|FCGR2B
REACTOME_INTERLEUKIN_10_SIGNALING,0.000176928520877565,0.00408942202835333,0.743771274870914,2.60907802476219,0,45,STAT3|CXCL10|CCL20|CXCL2|IL1R2|CCL2|CCL4|TNFRSF1B|CCR1|CCL3|PTAFR|TNFRSF1A|CD80|IL1B|IL6|IL18|IL10|IL1RN|CCR2|CCL5|CCR5|IL1R1|CD86|FPR1|CXCL8|ICAM1|CXCL1|PTGS2|TNF|IL10RA|CSF1|TIMP1|FCER2|CSF2
REACTOME_INTERFERON_GAMMA_SIGNALING,0.000170677590032429,0.00408942202835333,0.609611695277778,2.42776184274274,0,89,IFNG|GBP5|GBP1|GBP3|TRIM68|GBP2|SOCS3|IRF1|PTAFR|PIAS1|STAT1|FCGR1A|IFNGR2|HLA-E|HLA-F|HLA-H|HLA-B|FCGR1B|SP100|IFNGR1|HLA-A|HLA-DQA1|GBP4|TRIM29|HLA-G|HLA-C|PTPN6|TRIM31|HLA-DQA2|TRIM21|ICAM1|HLA-DRB1|HLA-DRB5|SOCS1|OAS3|HLA-DQB1|CIITA|HLA-DRA|B2M|GBP6|TRIM26|IRF7|MT2A|OAS2|OASL|TRIM22|TRIM46|CD44|IRF2|HLA-DPA1|MID1|OAS1|TRIM38|PTPN11|VCAM1
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,0.000174672489082969,0.00408942202835333,0.640514564648751,2.35538007547399,0,57,CXCL9|CXCL10|CCL20|CXCL2|CCL2|CCL7|CCL4|CXCR6|CCR1|CCL13|CCL3|CCRL2|CXCL11|CCR8|CXCL13|CXCL16|XCL2|CCR2|CCL5|CCR5|CXCL8|CXCL1|CXCL3|CCR4|XCL1|ACKR3|CCL16
REACTOME_INTERFERON_SIGNALING,0.000159642401021711,0.00408942202835333,0.527895485195229,2.32661772086534,0,184,IFNG|GBP5|GBP1|GBP3|TRIM68|GBP2|SOCS3|NUP98|IRF1|PTAFR|IFNAR2|IFNAR1|PIAS1|NEDD4|STAT1|NUP210|FCGR1A|IFNGR2|HLA-E|IFITM2|HLA-F|STAT2|HLA-H|HLA-B|FCGR1B|EIF4G2|SP100|IFNGR1|HLA-A|HLA-DQA1|GBP4|TRIM29|HLA-G|PPM1B|IFITM3|HLA-C|IFITM1|PTPN6|TRIM31|SAMHD1|UBE2L6|KPNA4|HLA-DQA2|EIF2AK2|TRIM21|ICAM1|HLA-DRB1|FLNA|HLA-DRB5|DDX58|MX2|SOCS1|OAS3|ISG20|HLA-DQB1|CIITA|NUP160|HLA-DRA|B2M|PSMB8|GBP6|TRIM26|IRF7|IFI35|MT2A|NUP214|OAS2|OASL|TRIM22|NUP54|TRIM46|CD44|NUP188|KPNA3|IRF2|KPNA5|XAF1|UBB|HLA-DPA1|MID1|OAS1|ARIH1|TRIM38|IFI6|PTPN11|HERC5|VCAM1
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,0.000167448091091762,0.00408942202835333,0.557060452747251,2.28359755517832,0,107,STAT3|MMP1|CCL2|BCL6|F13A1|SOCS3|IL2RG|BATF|TNFRSF1B|OSM|MCL1|IL4R|ITGB1|STAT1|IL1B|IL6|IL18|CDKN1A|JAK3|IL10|HIF1A|ALOX5|PIM1|MUC1|CXCL8|IL6R|ITGB2|FASLG|ICAM1|FOS|TGFB1|PTGS2|GATA3|VEGFA|HGF|SOCS1|ANXA1|TNF|IL13RA1|ITGAX|TIMP1|LCN2|ZEB1|RHOU|FCER2|HMOX1|SOCS5|MMP9|JUNB|S1PR1|VCAM1|IL23R|FGF2|LBP|MAOA|BCL2|CCL22|JAK2|JAK1|IL12B|OPRD1|IL12A|BCL2L1|RORA|POMC|CEBPD|LAMA5|LIF|COL1A2
REACTOME_PD_1_SIGNALING,0.000185253797702853,0.00408942202835333,0.756399545193835,2.23142150626377,0,21,PDCD1|CD274|LCK|PDCD1LG2|CD247|CD3E|CD3D|HLA-DQA1|PTPN6|HLA-DQA2|HLA-DRB1|HLA-DRB5|CD3G|HLA-DQB1|HLA-DRA
REACTOME_NEUTROPHIL_DEGRANULATION,0.000142775556824672,0.00408942202835333,0.459886087428169,2.22889010442202,0,472,LILRA3|TNFAIP6|DEFA1|FCAR|CHI3L1|IQGAP1|CHIT1|CR1|GPR84|SIGLEC14|TLR2|LRG1|TNFRSF1B|LILRB3|PTAFR|TMBIM1|PLD1|CTSA|ATP11B|MVP|RAB18|CD53|DEFA1B|BPI|B4GALT1|PTPRC|SERPINA3|SLC2A3|ANO6|SERPINA1|GNS|HK3|SIGLEC5|LILRB2|SERPINB1|S100A8|ATP6AP2|IDH1|PSEN1|SPTAN1|CD93|FPR2|ADGRE5|HLA-B|CYBB|FCER1G|PLAU|BST1|GLB1|CD14|PLAUR|ANXA2|ALOX5|HLA-A|MMP25|CAP1|NFAM1|PTX3|CTSS|HLA-C|DSP|ADAM10|FPR1|PTPN6|YPEL5|FCN1|DSG1|ACTR2|C3AR1|CD68|LRRC7|TCIRG1|TIMP2|CD300A|ATG7|ITGB2|LAIR1|ARSB|STBD1|CXCL1|ARMC8|CAMP|SLC27A2|PAFAH1B2|JUP|LAMP2|C5AR1|OSCAR|CYFIP1|APAF1|CD33|IGF2R|ENPP4|NFKB1|S100A9|ARG1|ITGAL|CPPED1|GYG1|COPB1|TRPM2|SLPI|ALDOC|FGR|OSTF1|CD59|ITGAV|NCKAP1L|HVCN1|DNAJC13|RAB31|B2M|DYNC1LI1|SELL|RAB10|CYBA|GMFG|CTSC|FCGR3B|FUCA1|SNAP23|CTSZ|DOCK2|PTPRB|SNAP29|ADGRG3|ITGAX|RAB37|RAP1A|TYROBP|CD47|SURF4|ORM1|CDA|TMEM30A|CAPN1|LCN2|PSAP|MAGT1|VCL|CRISPLD2|DIAPH1|GM2A|PYGL|RAP1B|GLIPR1|MANBA|RAB44|AMPD3|ADGRE3|UNC13D|MAPK14|ROCK1|VAMP8|GRN|NEU1|PSMD11|TMEM63A|CAND1|SIGLEC9|PRCP|TOLLIP|ADAM8|NBEAL2|CD44|GAA|CTSB|PTPRJ|GALNS|CXCR2|FGL2|MMP9|ORMDL3|ARHGAP9|HSPA6|ERP44|GHDC|DYNC1H1|NCSTN|VNN1|HPSE|MAPK1|CANT1|CLEC4D|ATP6V0C|RAB7A|SLCO4C1|PLEKHO2|CRACR2A|KRT1|SIRPB1|VPS35L|STOM|PECAM1|CMTM6|HGSNAT|ACLY|PADI2|MME|MCEMP1|PTPRN2|CLEC12A|ANPEP|FCGR2A|BIN2|DDX3X|CD177|MPO|CTSH|SYNGR1|ARPC5|RHOG|DBNL|CREG1|LYZ|SLC11A1|GSDMD|DNASE1L1|DPP7|RAB5B|CNN2|CXCR1|PNP|CTSD|GCA|IST1|NRAS|ATP8B4|RNASET2|FLG2|TMEM179B|LTF|MOSPD2|SNAP25|RNASE2|A1BG|ASAH1
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.000174672489082969,0.00408942202835333,0.604757219233242,2.22388870339298,0,57,GBP2|SOCS3|IRF1|IFNAR2|IFNAR1|STAT1|HLA-E|IFITM2|HLA-F|STAT2|HLA-H|HLA-B|HLA-A|HLA-G|IFITM3|HLA-C|IFITM1|PTPN6|SAMHD1|MX2|SOCS1|OAS3|ISG20|PSMB8|IRF7|IFI35|OAS2|OASL|IRF2|XAF1|OAS1|IFI6|PTPN11
REACTOME_DEFENSINS,0.000185770016719302,0.00408942202835333,0.750110804625276,2.18587606680811,0,20,DEFA1|TLR2|DEFB1|DEFA1B|TLR1|CCR2
