pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_COMPLEMENT_CASCADE,0.000173943294485998,0.00203493081883283,0.792594774828985,3.10842041647295,0,57,CRP|CFB|C4BPB|FCN3|C5|CLU|C8G|MBL2|C8B|CFHR1|C6|CFHR2|CFHR5|FCN2|MASP1|VTN|SERPING1|C1R|COLEC10|C1S|C9|C4BPA|CFHR3|CPB2|C4B_2|GZMM|C3AR1|CPN2|C5AR2|C2|CFP|CFHR4|F2|COLEC11|MASP2|CFH|C3|C1QC|C8A|C1QA|CD81|C4A|C1QB|CR1
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0.000163746520386442,0.00203493081883283,0.601988115713221,2.71503664996241,0,126,TREM2|SIGLEC8|CD1C|ICAM2|CD300LB|LILRA4|COL2A1|CLEC4G|ICAM3|LILRB3|OSCAR|ITGB7|CRTAM|CD3E|LILRB4|SLAMF6|CD8A|PILRA|JAML|LILRA6|LAIR1|CD3D|CD8B|CD3G|NCR3|LILRB2|C3|CD96|ITGB2|CD300A|CD300LF|CD40LG|KLRD1|HLA-F|CD81|KLRB1|LILRA1|SH2D1A|ITGAL|CD1D|SIGLEC1|CD226|CD40|CD99|SIGLEC6|COL3A1|VCAM1|B2M|SIGLEC11|NECTIN2|HLA-C|LILRB5|HCST|COL1A1|HLA-A|TREML1|TYROBP|COLEC12|SIGLEC10|SIGLEC7|IFITM1|CD1B|SIGLEC12|CD247|CD33|FCGR2B|LILRB1|SIGLEC5|ICAM4|SFTPD|SIGLEC9|KLRG1|KLRC1|CD19|CD300C|LILRA5|COL1A2|CD160|NCR1|ICAM5
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,0.000184399778720266,0.00203493081883283,0.841412525592308,2.65673007291117,0,22,CRP|CFB|FCN3|MBL2|FCN2|MASP1|C1R|COLEC10|C1S|C4B_2|GZMM|C2|CFP|COLEC11|MASP2|C3|C1QC|C1QA|C4A|C1QB
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,0.000167785234899329,0.00203493081883283,0.592104627529856,2.56360201319614,0,98,ADH1C|CYP2A6|NR1H4|CYP3A4|CYP2C8|ADH6|MAOA|ALDH2|FMO3|CYP2D6|PAOX|CYP3A5|CYP8B1|CYP4A11|AADAC|CYP4F11|FDX1|CYP2A7|CYB5R3|CYP2S1|CYP2C9|PTGS1|POR|CYP2C19|CYP4F2|ALDH1A1|EPHX1|CMBL|CYP2C18|TBXAS1|AOC1|CYP4F12|CES1|RXRA|CES3|CYP2B6|AIP|CES2|ALDH3A1|CYP1A2|CYP26A1|MAOB|CYP2E1|AOC2|FMO1|ADH7|AOC3|CYP3A43|PTGIS|ADH1B|CYP46A1|CYP27A1
REACTOME_PEROXISOMAL_LIPID_METABOLISM,0.000181752090149037,0.00203493081883283,0.755057383723109,2.56341418922201,0,29,SLC27A2|SCP2|ACOX2|ACAA1|CRAT|PHYH|HAO2|EHHADH|PECR|HSD17B4|NUDT7|HACL1|ACOX3|MLYCD|ALDH3A2|AMACR|ACBD4|ACOT4|ABCD1|DECR2|ACOT6|ECI2|ACBD5
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,0.000182182546912006,0.00203493081883283,0.792032978739536,2.56083937745219,0,24,NR1H4|AKR1C3|SLC27A2|AKR1C1|SLC27A5|AKR1C2|CYP8B1|SCP2|HSD3B7|AKR1D1|ACOX2|AKR1C4|ABCB11|BAAT|RXRA|HSD17B4|AMACR
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,0.000183519911910442,0.00203493081883283,0.738243272832542,2.55678939130562,0,32,HLA-DPA1|PLCG2|HLA-DPB1|HLA-DQA1|HLA-DRA|LAT|HLA-DRB5|WAS|HLA-DQB1|VASP|HLA-DQB2|EVL|HLA-DRB1|HLA-DQA2|CD101|CD3E|LCK|ITK|CD3D|CD3G|CD4|LCP2|CD247|ZAP70|FYB1|GRAP2
REACTOME_FATTY_ACID_METABOLISM,0.000159311773140035,0.00203493081883283,0.535570110665874,2.52548745982308,0,169,CYP2C8|AKR1C3|SLC27A2|ALOX15B|FAAH2|CYP8B1|SCP2|ACOX2|CPT2|CYP4A11|ACAA1|ACADS|CRAT|FAAH|CYP4F11|LTA4H|ALOX5|ECHS1|ACAA2|PHYH|PRKAG2|CYP2C9|ACADM|PTGS1|GGT5|DPEP2|ACSL5|CYP2C19|SLC25A20|MCEE|HAO2|GPX2|CYP4F2|GPX1|ACOT12|CPT1A|ACADL|EHHADH|ACOT2|TBXAS1|PON1|RXRA|MMAA|PTGDS|PECR|PTGR1|HSD17B4|NUDT7|ACSF3|HACL1|EPHX2|ACOX3|MAPKAPK2|MLYCD|ALDH3A2|AMACR|ACBD4|ACOT4|ACOT1|ABCD1|HPGD|DECR2|CYP1A2|ACOT6|SLC27A3|MID1IP1|ALOX5AP|CBR4|ACACB|HADHA|SCD|ECI2|GGT1|ACSF2|ACBD5|HPGDS|PCTP|ACOT11|GPX4|ECI1|THRSP
REACTOME_PEROXISOMAL_PROTEIN_IMPORT,0.000175039383861369,0.00203493081883283,0.631116124824961,2.51842669208829,0,63,SLC27A2|PIPOX|PAOX|SCP2|ACOX2|ACAA1|CRAT|DHRS4|HMGCL|PHYH|DAO|HAO2|PEX14|AGXT|EHHADH|ACOT2|BAAT|ECH1|PECR|HSD17B4|NUDT7|HACL1|EPHX2|ACOX3|MLYCD|AMACR|ACOT4|GSTK1|DECR2|PEX13|CAT|IDH1
REACTOME_BIOLOGICAL_OXIDATIONS,0.000156887354879197,0.00203493081883283,0.520051485246327,2.51243710234722,0,202,UGT2B15|ADH1C|CYP2A6|NR1H4|UGT2B17|AKR7A3|CYP3A4|CYP2C8|ADH6|MAOA|UGT2B10|ALDH2|FMO3|CYP2D6|PAOX|CYP3A5|CYP8B1|GLYATL1|MAT1A|CYP4A11|AADAC|NAT2|PAPSS2|CYP4F11|FDX1|AKR1A1|GSTA2|CYP2A7|CYB5R3|CYP2S1|ACY3|CYP2C9|GSTO2|PTGS1|ACSM5|GGT5|POR|DPEP2|GLYAT|CYP2C19|GSTA1|CYP4F2|SULT1A2|SULT1B1|ALDH1A1|EPHX1|UGT1A1|AKR7L|CMBL|CYP2C18|ACSM2B|TBXAS1|ACSM2A|AOC1|CNDP2|CYP4F12|CES1|RXRA|TPST2|CES3|CYP2B6|ACSM1|SLC26A1|GCLC|AIP|CES2|SULT2A1|GSTZ1|SULT1E1|ALDH3A1|GSTK1|CYP1A2|GSTT1|GGT6|CYP26A1|MAOB|MAT2B|CYP2E1|AOC2|MGST1|FMO1|ADH7|GGT1|AOC3|HPGDS|UGP2|CYP3A43|UGT2B11|DPEP1|UGT2A3|UGT1A9|PTGIS|ADH1B|CYP46A1|CYP27A1|NAT1
