"symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALB",3066.70374835189,7.75507147009217,0.902955595320269,8.58854135273565,8.8080369998836e-18,8.74814234828439e-14
"ALDOB",214.59205391693,6.20686030639462,0.760095249789264,8.16589803464167,3.19052690255128e-16,1.58441565980696e-12
"APOH",219.599630712013,7.56081851795636,0.949055242345063,7.96667905155236,1.62995259839404e-15,5.39622973574986e-12
"PLG",145.088786332255,5.73753519440796,0.73726651978181,7.78217244437731,7.1289601598608e-15,1.94275881336101e-11
"APOA1",104.893859415621,6.63407507166252,0.853763029241041,7.77039394357463,7.82424008602906e-15,1.94275881336101e-11
"SERPINC1",87.9022053398788,6.58767935644154,0.864353528720162,7.62151033986734,2.50724551049271e-14,4.98039248204272e-11
"GC",251.189634993841,8.23758598126454,1.08521730549992,7.59072486175453,3.1812080547981e-14,5.74468334550086e-11
"KNG1",106.884482807611,6.28847738343721,0.856913741365546,7.33851854612125,2.15970987697562e-13,3.57503974968698e-10
"FGB",457.497468103707,6.74032622081331,0.980721780348343,6.87282199281758,6.29440922741211e-12,9.61785729948571e-09
"HRG",114.993634530054,7.52984811558742,1.11496812484953,6.75342007342461,1.4440006870203e-11,2.04883068906937e-08
"APOA2",127.744121298381,6.96557860068814,1.05364543200995,6.61093228240977,3.81907169902229e-11,5.05746934862525e-08
"CYP2E1",375.631001508124,4.52495210056913,0.686553685818086,6.59082049086557,4.37402489805315e-11,5.43035191093299e-08
"AMBP",168.384285277901,6.03059944047234,0.917350348137045,6.57393268855164,4.90033912448487e-11,5.47501546570446e-08
"HPX",129.120826958082,4.06632129677657,0.618725365194207,6.57209405905029,4.96125042200364e-11,5.47501546570446e-08
"C9",62.0354524977862,5.6115850163433,0.871562780499171,6.43853218827147,1.20634380378371e-10,1.2612007009663e-07
"AHSG",114.998139530043,6.99435084481897,1.09150497559992,6.40798805426853,1.4745245882271e-10,1.46449782102715e-07
"FGL1",98.2048203404878,5.11306664822578,0.801198456136493,6.38177296656536,1.7504935440944e-10,1.64967020347083e-07
"FGA",547.720947003153,6.46038701310125,1.01335982105264,6.37521527781756,1.82706124025162e-10,1.64967020347083e-07
"UGT2B15",107.720724401691,6.05846284350655,0.97471745412677,6.21560927000555,5.11258804771805e-10,4.23151870749464e-07
"ANXA10",60.7198108808195,6.96586807280746,1.1252261743894,6.19063814133852,5.99211267319776e-10,4.76109304561602e-07
"APOC3",65.2756538569498,7.58829875571392,1.22929892320478,6.17286699961572,6.70626243180784e-10,5.12358449790119e-07
"ITIH2",168.498273218143,4.50704437491093,0.731355156567504,6.16259328239921,7.15631474794404e-10,5.26492726493187e-07
"ADH4",86.0655696447094,6.18723700842436,1.02449179645038,6.03932313549183,1.54762042734058e-09,1.04412356943362e-06
"CYP2C8",44.742110395479,4.9103004833886,0.813462363323585,6.03629707381476,1.57690833079987e-09,1.04412356943362e-06
"APOB",338.44139086259,5.62858241497137,0.939552094577698,5.99070817622014,2.08929245441587e-09,1.33876468756506e-06
"ITIH1",68.8374816104583,5.0011317284032,0.853527436403649,5.85936844570052,4.64630791360001e-09,2.8841956373672e-06
"TM4SF4",54.8096898201786,6.01394661802346,1.0281599719934,5.84923239752621,4.93846697850471e-09,2.97265782003083e-06
"HPD",52.5262016366209,3.73220797390959,0.640410397135138,5.82783788427787,5.61500838521783e-09,3.28048607541079e-06
"ANGPTL3",66.8257024095408,5.49809795315815,0.95846573443463,5.73635316905858,9.67368380650294e-09,5.49023014663927e-06
"CYP2C9",55.7041036904924,5.32696027210261,0.93164723825498,5.71778679028798,1.07920434003831e-08,5.95480972514472e-06
"UGT2B4",40.9799121291463,7.76292345612294,1.36435822747335,5.68979854396382,1.27189336375058e-08,6.82834858852474e-06
"TAT",39.7492096992634,5.20401149799078,0.917157178042503,5.67406724014062,1.39446355538815e-08,7.28937475374478e-06
"C8B",32.383416891446,7.62192688053559,1.36454180418127,5.58570419548912,2.32755122511924e-08,1.15586193839421e-05
