pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0.000176397953783736,0.00152671491754356,0.703496707556851,3.23829843436892,0,104,HLA-F|CD8A|CD8B|SIGLEC11|ITGAL|ITGB7|CD247|HLA-C|ICAM3|HLA-B|CD3E|CD3D|KLRD1|CD300A|ITGB2|CD3G|CD300C|KLRC1|HLA-E|FCGR1A|OSCAR|LILRB1|CRTAM|HCST|IFITM1|B2M|CD96|SH2D1A|SLAMF6|SIGLEC8|CD300LF|HLA-A|LILRB4|SLAMF7|CD300E|C3|PILRA|LAIR1|JAML|LILRA3|CD40|CD33|CD1D|TYROBP|SH2D1B|SIGLEC5|SIGLEC7|KLRB1|NECTIN2|HLA-G|CD226|SIGLEC10|LILRA1|SIGLEC9|LILRB2|LILRA6|SIGLEC1|NPDC1|CLEC2B|LILRA2|MICB|FCGR3A|TREML2|VCAM1
REACTOME_PD_1_SIGNALING,0.00018628912071535,0.00152671491754356,0.937520971485667,3.03369101210288,0,21,PDCD1|CD247|CD3E|CD3D|LCK|CD274|CD3G|HLA-DQB1|HLA-DPA1|HLA-DPB1|PDCD1LG2|PTPN6|CD4|HLA-DRB1|HLA-DRB5|HLA-DRA|HLA-DQA2|HLA-DQA1|CSK|HLA-DQB2
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,0.000186219739292365,0.00152671491754356,0.814394698311489,2.89959530744076,0,31,CD247|LAT|EVL|ZAP70|CD3E|CD3D|LCK|CD3G|HLA-DQB1|HLA-DPA1|HLA-DPB1|CD4|LCP2|HLA-DRB1|HLA-DRB5|HLA-DRA|HLA-DQA2|HLA-DQA1|WAS|VASP|HLA-DQB2|FYB1|ITK|PLCG2|CD101
REACTOME_INTERFERON_GAMMA_SIGNALING,0.000178507675830061,0.00152671491754356,0.652018915568323,2.87574517536516,0,82,HLA-F|IRF1|GBP5|GBP2|HLA-C|HLA-B|GBP1|HLA-H|CIITA|IFNG|OASL|TRIM8|GBP4|HLA-DQB1|HLA-E|HLA-DPA1|FCGR1A|HLA-DPB1|TRIM21|PTPN6|SOCS1|HLA-DRB1|FCGR1B|SP100|B2M|IRF3|HLA-DRB5|HLA-DRA|HLA-DQA2|GBP3|HLA-DQA1|HLA-A|IRF8|IRF5|HLA-DQB2|STAT1|IRF2|PML|TRIM14|IRF7|HLA-G|TRIM22|MT2A|JAK2
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.000184026499815974,0.00152671491754356,0.693130507258559,2.81579720289849,0,55,HLA-F|IRF1|GBP2|HLA-C|HLA-B|HLA-H|PSMB8|OASL|HLA-E|PTPN6|SOCS1|ISG20|IFITM1|IRF3|HLA-A|IRF8|IRF5|STAT1|TYK2|IRF2|IRF7|XAF1|IFIT2|IFIT3|IFITM2|HLA-G|IFITM3|IFI35|SAMHD1|STAT2|OAS1|MX1|BST2|IFNAR2|OAS2|ISG15|RSAD2|JAK1|IFNAR1|IFI27
REACTOME_INTERLEUKIN_10_SIGNALING,0.000184399778720266,0.00152671491754356,0.68948667480544,2.61515306724729,0,40,CCL5|CCR5|CCL4|CSF1|CXCL2|IL10|CD80|TNFRSF1B|TNF|IL10RB|CCL3|TYK2|CXCL10|STAT3|CCL19|CCR2|CD86|IL10RA|IL18|IL1RN|TNFRSF1A|CCL22|PTAFR|JAK1|IL1R1|CCR1|CCL2
REACTOME_TCR_SIGNALING,0.000177053824362606,0.00152671491754356,0.560253370447825,2.61352550188435,0,113,PSMB10|NFKBIA|CD247|PSME1|PSMB9|LAT|EVL|ZAP70|CD3E|CD3D|LCK|PSMB8|CD3G|HLA-DQB1|INPP5D|IKBKG|PSME2|HLA-DPA1|HLA-DPB1|CD4|LCP2|HLA-DRB1|HLA-DRB5|HLA-DRA|CARD11|HLA-DQA2|HLA-DQA1|WAS|TAB2|PTPN22|CSK|UBC|VASP|PRKCQ|HLA-DQB2|FYB1|PTPRC|ITK|PLCG2|CD101|PSMF1|TRAT1|PSMB6|NFKB1
REACTOME_COMPLEMENT_CASCADE,0.000184060371801951,0.00152671491754356,0.635296953149301,2.57197570929076,0,54,C8G|FCN3|FCN1|SERPING1|C4B_2|C1S|CFB|C2|C1R|C1QA|C1QB|C3|CPN2|C1QC|CFHR1|GZMM|C7|CFH|F2|MASP1|COLEC10|C3AR1|MASP2|FCN2|CFP|MBL2|CFI|C5AR1|CLU|CR1|CD81|C4BPB|C5|C9|VTN|C6|C4BPA
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,0.00018628912071535,0.00152671491754356,0.788927695063628,2.55286327506986,0,21,FCN3|FCN1|C4B_2|C1S|CFB|C2|C1R|C1QA|C1QB|C3|C1QC|GZMM|MASP1|COLEC10|MASP2|FCN2|CFP|MBL2
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,0.000182949140139041,0.00152671491754356,0.603228695720616,2.54998523223337,0,66,PDCD1|CD247|MAP3K14|CD3E|CD3D|LCK|CD274|CD3G|HLA-DQB1|ICOS|HLA-DPA1|HLA-DPB1|PDCD1LG2|PTPN6|CD4|HLA-DRB1|HLA-DRB5|HLA-DRA|HLA-DQA2|CD80|LYN|HLA-DQA1|CSK|HLA-DQB2|ICOSLG|VAV1|BTLA|CTLA4|CD86|MAP3K8|GRAP2|GRB2|SRC
