"symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGA3",4530.68253345736,9.38288847058003,0.853061661282004,10.9990741542401,3.86075360520199e-28,5.10371784793818e-24
"PGA4",4505.98632760771,9.32875369278863,0.853566911884377,10.9291416559178,8.36357721243645e-28,5.31087152989715e-24
"PGA5",2881.1356129963,8.88383892869719,0.823686914279533,10.7854559477465,4.03238672127641e-27,1.92042417600789e-23
"ITIH2",890.244110550776,7.19798558809751,0.695922395860248,10.3430865724617,4.49811813717981e-25,1.71378301026551e-21
"PGC",6404.43779266456,10.9966672997093,1.09494975387088,10.0430793840847,9.85486704192233e-24,3.12892028581034e-20
"HPD",301.983915027159,6.30370966482496,0.666896613647149,9.45230420402196,3.31452518186497e-21,9.02024353064682e-18
"CRP",617.043303010479,9.72287784762925,1.1273506639438,8.62453729668795,6.43523058788805e-18,1.53238928374084e-14
"LIPF",2076.33757983553,11.2133126281692,1.33652717949939,8.38988746369472,4.86607744791717e-17,1.02998639314247e-13
"UGT2B15",394.242889095654,9.50523439127291,1.18640371792619,8.01180428521235,1.1303765378908e-15,1.95760664061998e-12
"FGL1",819.722349362102,7.72645304526611,1.02699783991034,7.52333913958445,5.33946837326127e-14,8.47640604255226e-11
"RDH16",331.243664569416,5.35114294253513,0.716842171548657,7.4648830034296,8.33736594227795e-14,1.22174477846458e-10
"CFB",3943.39066655413,3.29855355128977,0.469362209782095,7.02773568588138,2.09912050103682e-12,2.85630325319653e-09
"ITIH3",994.991269959892,4.97180958042553,0.714621610050604,6.95726173194436,3.46950035978293e-12,4.40626545692432e-09
"ADH1C",428.819720954604,4.81009900260707,0.705791422299982,6.81518484162399,9.41426414525644e-12,1.12088582479459e-08
"GKN1",1784.06381430515,11.3012494126161,1.66193984668149,6.80003517286265,1.04593611675154e-11,1.17206370730099e-08
"CREB3L3",128.623995142835,7.25958092164876,1.07719011543565,6.73936830427815,1.59076704091633e-11,1.68356178496979e-08
"SERPINA6",283.534276596579,11.0662966332548,1.65815790452599,6.67384969974756,2.49178818149029e-11,2.49834551881e-08
"CDHR5",87.5557950010149,4.90509640587251,0.74621496899275,6.57330207740735,4.92114752469246e-11,4.46418382597101e-08
"TFR2",650.883171003656,4.21235994669387,0.645297155124886,6.52778322860984,6.67502056682815e-11,5.77996099082165e-08
"HGD",194.215890470068,5.20754875849255,0.802342182238449,6.49043372487788,8.55896113215993e-11,7.08905258989768e-08
"ITIH4",2204.62106052038,4.17294498869356,0.643806904694337,6.48167169110242,9.07118625409404e-11,7.20025408918714e-08
"SLC22A1",129.693801515654,3.70316062413826,0.580349158283621,6.38091840279452,1.76029087764986e-10,1.3413416487692e-07
"F11",87.431143416541,8.02515450659489,1.27667380558626,6.28598665648165,3.25777927396625e-10,2.38694981419451e-07
"LGALS4",45.9215322043324,3.55394550713181,0.570639207991632,6.22800792052116,4.72403191248688e-10,3.33306696047686e-07
"C4BPB",160.328865877545,4.5004944235951,0.738407478444046,6.09486571435927,1.09529356439757e-09,7.19494565578402e-07
"ALDH8A1",177.422736531386,3.80852389020267,0.628442923432983,6.06025423820181,1.35906558750848e-09,8.63006648067886e-07
"CHIT1",4297.53141569903,4.19824380131079,0.699069872152752,6.00547093866669,1.90777335662918e-09,1.17235749818664e-06
"FBP1",2062.36875686726,2.85159717850083,0.475568730214087,5.99618309054324,2.02009255248489e-09,1.20258634765116e-06
"CYP2A6",228.81741538041,6.11899222404888,1.02418046564701,5.97452541743538,2.30760956083526e-09,1.29294006276211e-06
"CP",2218.67556495515,3.58959318720715,0.605376146732313,5.92952531510035,3.0381167279587e-09,1.60767010187814e-06
"NR1H4",68.3440611066632,6.76790324642194,1.15305215098325,5.86955519804606,4.36965859289176e-09,2.190578847226e-06
"HAAO",482.501003267044,2.46957534550447,0.422299065392772,5.84792993374865,4.97728108267911e-09,2.43121037500095e-06
"HPX",2484.01232387308,5.47656920799557,0.938664423907864,5.83442715895786,5.39756810825438e-09,2.57059181155615e-06
"LSR",801.398784006787,2.20207210060785,0.381564341897734,5.771168473594,7.87237170741835e-09,3.57068288157904e-06
"LPA",89.9096125422704,6.78125516141565,1.18495984658899,5.72277210990404,1.04799800051731e-08,4.64287486275692e-06
"LDHD",267.632878514693,2.53302655906233,0.442941188938985,5.71865209720031,1.07372380597085e-08,4.64873602357833e-06
"PROZ",36.8907120161986,3.49347191340563,0.611520863654375,5.71275997441701,1.11158413344637e-08,4.70570616492297e-06
"LINC01018",114.385928191199,5.08803978528668,0.892998751677893,5.69770089345203,1.21433851816657e-08,5.02894538501589e-06
"PRAP1",27.8928345667977,4.30085284844243,0.761509213106134,5.64780146375327,1.62512697329753e-08,6.44972267527459e-06
