"","PD1_8_EDT","PD1_10_EDT","PD1_29_EDT","PD1_47_EDT","PD1_48_EDT","PD1_13_EDT","PD1_17_EDT","PD1_25_EDT","PD1_41_EDT","ipiPD1_4_EDT","ipiPD1_9_EDT","ipiPD1_1_EDT","ipiPD1_13_EDT","ipiPD1_19_EDT","ipiPD1_27_EDT","ipiPD1_33_EDT","ipiPD1_35_EDT","ipiPD1_36_EDT"
"COMPLEMENT_CASCADE",0.0741390631215398,0.150110702484783,0.0890880781624479,0.163289273231126,0.185461877123348,0.105586958573698,0.232207710656304,0.175700400692064,0.198872869411376,0.111301645732113,0.142736130296717,0.138741667136788,0.244759732067708,0.172382076974747,0.141124034558985,0.218660304920476,0.126967001786104,0.211359390883704
"IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.215719333533912,0.349095319475788,0.151119268945132,0.380970701270095,0.579777747760129,0.222908638473603,0.473165168723755,0.435884295039294,0.481574028167292,0.15952529219538,0.231201616249047,0.262101084767131,0.590149010719158,0.43883987697806,0.467064206555396,0.521643008479766,0.313449837154885,0.528052480771841
"INITIAL_TRIGGERING_OF_COMPLEMENT",0.238772275172545,0.318199605070499,0.20335744552945,0.313328548462303,0.367532083590081,0.264684397012089,0.398395417017975,0.369336956665078,0.356431994826933,0.290119685549917,0.324760140703032,0.322381591974182,0.440151747988219,0.340794818134038,0.306486484127936,0.406453372739175,0.292922762260377,0.369671607702194
"PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",-0.0547562315015291,-0.000979867089034206,-0.116412010621246,-0.0302564453826571,-0.0386576843939033,-0.0632411568656369,-0.0195137368313709,0.0225277875605489,-0.00279875743457991,-0.0248813373158293,-0.0522581470340121,-0.0136485077914735,0.0401177518735306,-0.0479007195151131,-0.0546218171054922,0.00143078052394366,-0.0944479047135399,-0.0630004492825856
"PEROXISOMAL_LIPID_METABOLISM",0.176869364933426,0.213587899600109,0.287698633894511,0.194301418186492,0.227757050510195,0.254912726045659,0.167322743067397,0.18037071940533,0.208825972055809,0.228084356821682,0.296668945258544,0.184161406517971,0.276554443925029,0.231314058063908,0.233677694068542,0.220828375124011,0.213554197903289,0.263261226718804
"SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",-0.0826390650674063,-0.0584868505307702,-0.132024490543746,-0.0731605883975547,-0.104853248263006,-0.132073602922263,-0.0511235783850385,-0.0839259101965057,-0.0145298068408534,-0.0929108695001019,-0.0683677433702825,-0.0905725016783767,-0.01445318148274,-0.115484199139577,-0.111647662872383,-0.0241353340008914,-0.0230789096989264,-0.0507474281820296
"GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.214336819419188,0.454941943744541,0.188493483988903,0.4422688300697,0.608656194639139,0.29731472170673,0.44691231476253,0.558021314670758,0.568465983675988,0.219066722826145,0.239821613266197,0.293883348565851,0.621438986368768,0.486258827188912,0.480021885430568,0.607010875225125,0.528362807782855,0.54981443149149
"FATTY_ACID_METABOLISM",0.139168938264604,0.209392990784292,0.171791296924154,0.199747284292414,0.217739547340331,0.199360257109413,0.161932869300724,0.184568748055367,0.186196796011782,0.193861299001259,0.212600371727177,0.182264681075502,0.277333520347545,0.176582270371259,0.186348055396145,0.210702037738771,0.146592758313943,0.21689712313554
"PEROXISOMAL_PROTEIN_IMPORT",0.115548147296922,0.190398526363329,0.223447111868591,0.157303377624554,0.21000345611589,0.221262108254969,0.130606911037629,0.16896172964541,0.187269526291568,0.172687426441062,0.261644566418381,0.147576221223091,0.262946080767003,0.192115544106807,0.217001129329046,0.211533276614971,0.209199716131233,0.245992877372339
"BIOLOGICAL_OXIDATIONS",-0.0979923264321895,-0.0505065977911945,-0.149357386033027,-0.0934506514060311,-0.0711433837385981,-0.10399097827984,-0.0751292343440621,-0.0141130196047263,-0.0510136079186262,-0.0914286844897695,-0.100934133989241,-0.0591465888401429,-0.000177295260643019,-0.0832108958487887,-0.100570726574579,-0.0394069400754064,-0.131497626275097,-0.0815484542663078
