"","Pt_9_PROG","Pt_10_PROG","Pt_21_PROG","Pt_22_RES","Pt_23_RES","Pt_24_PROG","Pt_24_RES","Pt_25_PROG","Pt_26_PROG","Pt_29_RES","Pt_30_PROG","Pt_31_PROG1","Pt_31_PROG2","Pt_31_PROG3","Pt_31_PROG4","Pt_44_PROG1","Pt_44_PROG2","Pt_45_RES","Pt_46_PROG1","Pt_46_PROG2","Pt_47_PROG","Pt_48_PROG1","Pt_48_PROG2","Pt_49_PROG","Pt_50_PROG","Pt_51_PROG","Pt_52_PROG1","Pt_52_PROG2","Pt_53_RES","Pt_53_PROG1","Pt_53_PROG2","Pt_54_PROG1","Pt_54_PROG2","Pt_54_PROG3","Pt_55_PROG"
"COMPLEMENT_CASCADE",0.0355015927499938,0.0309631532417772,0.0854893473413666,0.0493834648139269,0.0891078241938269,-0.0157562097196803,0.0958809792828996,0.083378040877038,0.0361861420100864,0.0598301076588063,0.0120152008108035,-0.119170152081681,-0.0181170723645464,0.000737097698312668,-0.139362711106854,0.0689560113344882,0.0511554126530707,0.144293027341953,0.101883798831814,-0.0541876014488734,0.102360376170496,0.111047346326996,-0.0629885307630678,0.0957364609874927,0.0545012661996597,0.0967618917693391,0.0280882185093403,0.0657967366713142,0.0663225316006747,0.0414165776574215,0.0103008348400765,0.0321850204735716,0.0408118576323697,0.0232163011366432,0.0787130200541286
"IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.254589187500045,0.132442917571327,0.0831865082741654,0.186954811151478,0.350272569826702,-0.0070873509887891,0.336162755957854,0.0901120824747965,0.0705497373586613,0.2311161308561,0.0235621568600137,-0.0648650278078411,0.0798051789274335,0.137911969739029,-0.0744296479409774,0.158615012145254,0.12550472341794,0.356659074208677,0.2925947089585,0.00250449012805268,0.18478888385367,0.24712839880502,-0.0155197305785537,0.355632667516003,0.247060880644953,0.286919708356638,0.200523645757308,0.119326685548626,0.247126034085143,0.180593627151513,0.111021536960456,0.154439045956458,0.0920883541040017,0.167793451904681,0.18905682854791
"INITIAL_TRIGGERING_OF_COMPLEMENT",0.207846893487681,0.140998773795175,0.266425066408062,0.248205009981891,0.258060634414793,0.111444540006744,0.275581748725744,0.268073309330718,0.170803096750854,0.238948287769347,0.17080787096974,-0.0435930984590756,0.112571735946426,0.132783062209623,-0.116663689758419,0.254139008122374,0.223429040471551,0.306165050803742,0.257588229653505,0.0601205589588357,0.272045747619445,0.291650140118351,0.0306900983507628,0.265879112668403,0.21445846129637,0.285253537551161,0.21613983688901,0.263703413183829,0.218259980502787,0.193979443767357,0.147984965405685,0.217969722677218,0.198628500827051,0.203408726994337,0.25219624259
"PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",-0.132828385831735,-0.165847094712471,-0.107819482635743,-0.0921609140460379,-0.0842067464863098,-0.155439787015452,-0.0890857089797742,-0.0866546348818643,-0.115616742411281,-0.0863760361380024,-0.0924348002572653,-0.149327906534666,-0.108020188825078,-0.105176814687145,-0.154284673898166,-0.104807447637538,-0.149864511070133,-0.0277984023480882,0.0969695855474907,-0.137645328054469,-0.084042969492494,-0.0191209477286544,-0.165540104139609,-0.0576970358970728,-0.105056296961163,-0.0974723969363399,-0.0963296962387337,-0.123255442307676,-0.070656556528326,-0.123561208385388,-0.109238688259681,-0.0855021415759333,-0.0857704753059612,-0.0862604461838368,-0.146824066475448
"PEROXISOMAL_LIPID_METABOLISM",0.233083567933525,0.159564333719027,0.231900600274864,0.158786128413431,0.231266784508177,0.254696319702494,0.225695239319967,0.239414029304113,0.176140449069851,0.233655059395916,0.17640298148742,0.25382827564577,0.255445545468972,0.253401280270718,0.257295758353832,0.248972400703789,0.23558213789254,0.218765272893054,0.231809639091729,0.18080004009618,0.271316257745785,0.19432860707696,0.15810466897542,0.176493732872127,0.211197948356594,0.212095658749753,0.1962844805273,0.237123355883746,0.235061929891227,0.234525847271334,0.224034051586236,0.206994709684915,0.256507035457933,0.225392602639994,0.228957904635464
"SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",-0.0303397252912431,-0.0249304393443256,0.0850274926949754,0.0209364683221544,-0.0143004434548032,0.0817987695932591,0.0177221817565238,-0.0161774374502955,-0.0624683926565639,0.0891114962669782,0.0495463339551684,-0.010397723691396,-0.0289500836556152,0.0048853250890518,0.00537897987254195,0.0482992173639673,-0.00334348589700344,0.00850435618455299,0.161329028605119,-0.0312525026184997,0.126760335653215,0.0991188915662062,-0.0287377310833738,0.0181215951056386,-0.0389745964158211,0.0144495020415495,0.132177843188586,0.215420525523556,0.0311192187167263,0.0170897635966268,0.0275369476960821,0.00952358590080568,0.0678357969874367,0.00457101374274344,-0.0506644835691187
"GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.517422634779966,0.36153148971801,0.351450514122393,0.478595588856622,0.619688787250187,0.241597254146658,0.600600196561206,0.290608953831586,0.328530751865713,0.474585625935015,0.289699004166077,0.0941919852145788,0.295306951686377,0.359706984320399,0.088440459475045,0.414713725862467,0.379613257130001,0.506618650934611,0.474029620578507,0.137273443429258,0.455213928006754,0.530861826453851,0.205550457155871,0.576576987971663,0.482645891325776,0.550825093490157,0.508322609854742,0.380412881233587,0.491778368480497,0.469274632806152,0.362455147323727,0.397523496859049,0.36925439831191,0.430776893644662,0.451609261149141
"FATTY_ACID_METABOLISM",0.158004966303049,0.129373317126164,0.18045751626518,0.14658822832329,0.223468246429293,0.159641215349715,0.191225627019646,0.175957642006978,0.136476585821401,0.205268329080066,0.146763400051609,0.148032364332457,0.187630429432498,0.189135494359593,0.178685044498649,0.200781119191703,0.162862197350203,0.235355352924344,0.293032429842333,0.175320449954175,0.211597018498971,0.216311563813774,0.1292620074682,0.192515874510902,0.199645294171283,0.190593152965928,0.166570804503347,0.176246538573363,0.188821768193619,0.190858878408786,0.174461708541785,0.175027567581969,0.203997485148962,0.172394143563704,0.161000205209641
"PEROXISOMAL_PROTEIN_IMPORT",0.236564298366022,0.184474691304367,0.262533628864136,0.206519584579532,0.251256852063523,0.222298085486873,0.218490474965593,0.255543054357387,0.206934608333709,0.235465592621114,0.225671927942023,0.247520466688081,0.238877321613757,0.240831027364236,0.230290619128198,0.240011350977303,0.225970981671811,0.266366019349003,0.265640145404664,0.241638882673074,0.300971081956175,0.211826642023976,0.168096456847079,0.200352847016757,0.227744584741542,0.264474235662408,0.206738948522371,0.24032473182981,0.221720137411735,0.210658124038333,0.202692699429592,0.222107779649355,0.284181179844659,0.229053787629706,0.208569064312973
"BIOLOGICAL_OXIDATIONS",-0.11464634641671,-0.130053211988838,-0.0889099630540681,-0.108090117469298,-0.0543170507928293,-0.113142396767959,-0.0736176500904902,-0.0934932338455666,-0.126198080759318,-0.0649951408046824,-0.0829818012250557,-0.131880352070961,-0.104452342229532,-0.0919241772547428,-0.106974050986489,-0.0938060526630066,-0.119840792276253,-0.0145717061814611,0.0768952574562877,-0.11185841448913,-0.0573253605864441,-0.0355674243502477,-0.144592758838504,-0.0496979453675016,-0.0978029622711331,-0.0768534022609808,-0.0917352729997281,-0.108070002194988,-0.0551677020715846,-0.0918928012014035,-0.0844578217270643,-0.0749978024562958,-0.087768147169798,-0.0870231765783946,-0.100026406652016
