"","Pt103_On","Pt106_On","Pt109_On","Pt11_On","Pt13_On","Pt17_On","Pt1_On","Pt27_On","Pt28_On","Pt31_On","Pt32_On","Pt46_On","Pt47_On","Pt52_On","Pt5_On","Pt62_On","Pt78_On","Pt80_On","Pt81_On","Pt84_On","Pt85_On","Pt8_On","Pt93_On","Pt9_On","Pt101_On","Pt105_On","Pt18_On","Pt30_On","Pt34_On","Pt35_On","Pt3_On","Pt44_On","Pt48_On","Pt49_On","Pt69_On","Pt94_On","Pt10_On","Pt108_On","Pt2_On","Pt26_On","Pt36_On","Pt37_On","Pt38_On","Pt4_On","Pt58_On","Pt65_On","Pt67_On","Pt77_On","Pt79_On","Pt82_On","Pt87_On","Pt89_On","Pt92_On","Pt98_On"
"COMPLEMENT_CASCADE",-0.0088988804668655,0.0707081184594312,0.00417154342894939,0.00819167209754243,0.0678186079310167,-0.0964594241540314,-0.050015486792793,-0.000470663082134233,0.0495300576548884,0.0342348373066581,0.0459950868077424,0.106820913476327,0.0371322658279404,0.450301738342511,-0.0365016678019966,0.446073846496727,0.0738745712604808,0.0160829131637111,0.0732510353955827,-0.0130014563768288,-0.0436068621758094,0.00267479587107766,-0.0482989071744512,-0.031424391689626,0.141394217341723,0.0501410202512541,0.0950955397368854,0.115489968107482,0.0993768297048062,0.00389656321760514,0.0431089227481898,0.123732993206915,0.637650670791693,0.112775047414887,0.0968976934813571,0.552281879728443,-0.0104934757399905,0.0599839760074248,0.0293417939030305,-0.0587484626312747,0.0692690182191428,0.019103259461897,-0.105510066712398,0.0826312090513784,0.0223426075200404,0.0581658160788204,0.0217331072286466,0.115253509785528,-0.0141226842581453,0.55649861502481,0.38621176589911,0.0243816217366769,0.0962525783271353,0.0890678640329159
"IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.0280820698867426,0.182225332035788,0.178047029301092,0.194917154447491,0.252650556601065,-0.057313648003934,0.0914913405311032,0.189441756151956,0.268985903870698,0.272493882817649,0.332380746513664,0.364083247441508,0.148748288257927,0.0994695159378921,0.185004096910544,0.0647147539359889,0.190730492696774,0.230025713765947,0.29724962156284,-0.0192502106579417,0.0516122636897098,0.156590999397317,0.0726830844935696,0.0533343899038885,0.366715071520036,0.272269016711584,0.364980468625324,0.420572415405859,0.397552083249635,0.279367057292487,0.152992087134613,0.249968005601339,0.189625527539329,0.370217710330663,0.441241476598756,0.203660326819942,0.188951598197401,0.187706841470988,0.23930256703088,-0.0132958244813682,0.279869588220675,0.166626521744502,0.0398573269658282,0.335266064010264,0.229360683045653,0.1886411711235,0.0626026385019786,0.351652180563015,0.087234337345809,0.235421078017862,0.392775059741713,0.138339581092936,0.368679113834576,0.193674996983364
"INITIAL_TRIGGERING_OF_COMPLEMENT",0.129866111208726,0.178821933558348,0.161122285866222,0.166785421288551,0.202057519650763,0.0196238501959944,0.0539887397256029,0.120888908000079,0.213205299050939,0.183909037099269,0.124281906077389,0.24546367613571,0.190588503439159,0.42294488768725,0.0639566921621928,0.430844490119653,0.230509777073789,0.153048841820199,0.238425320669745,0.104464278342668,0.0884637793695712,0.174211014395115,0.0561618196930778,0.0885393055730809,0.280581322454822,0.205802282525667,0.239906843049459,0.280762408630894,0.259453856566433,0.171150806423301,0.161165420777274,0.279048179994313,0.613198356501012,0.293954621244172,0.246430825496486,0.51482400991106,0.12791410050705,0.213238489931882,0.192648797101663,0.0800820022553707,0.223640059474622,0.163196515312053,0.0250163409056896,0.241450595643303,0.183623753510902,0.187877856789398,0.0958476859813283,0.262801040727083,0.13967471217379,0.530983599233355,0.417036412197671,0.190619111171419,0.270655350508385,0.248219283313177
"PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",-0.117425902259683,-0.108161734340607,-0.118812252244472,-0.0810794092561773,-0.0828625867179508,-0.133136092158088,-0.172425890816565,-0.137022896419515,-0.0989275231637052,-0.17046201791133,-0.0627396396482813,0.0354813767684643,-0.134484155571706,0.263353344202965,-0.180325687928247,0.281503616116198,0.0391216316986569,-0.140186715361636,-0.10068457181994,-0.100789387581756,-0.149177465490808,-0.125820720123208,-0.128478183728548,-0.1718800581003,-0.118910433582852,-0.166489376877363,-0.0885292856800562,-0.0410994442040135,-0.00163943678509573,-0.0944984009034749,0.0519784696770598,0.0062883390484947,0.473752095901192,-0.0404291546833,0.00566794887576108,0.430368200127574,-0.132888709176392,-0.0511404395013752,-0.143626094670833,-0.167343537068317,-0.0618133780971393,-0.104745378569864,-0.179810349614522,-0.0916824445222358,-0.150579617249456,-0.128957019158918,0.130294400116988,-0.0665828612812102,-0.137890633437289,0.377594644410824,0.114957984056118,-0.11193935397243,-0.113501582536321,-0.10183587250614
"PEROXISOMAL_LIPID_METABOLISM",0.0565424935426211,0.0891589510248398,0.125982257534853,0.0698728839813428,0.0753839209117475,0.158239692099646,0.12404327596295,0.114494555161461,0.110289658924339,0.127084450167496,0.0379946483059649,0.176976110320743,0.111757041776092,0.183162614395309,0.135892075084547,0.251805284116828,0.180142953016674,0.0562428398118049,0.109045855432864,0.142264506439623,0.165294652658801,0.136336080290886,0.136063274280334,0.0434471100846667,0.0532997246063904,0.119910848122452,0.058058870189914,0.161599471806802,0.172824117238829,0.16022297147582,0.126148908187107,0.149378046654865,0.502935228271072,0.143347258595275,0.177891178747999,0.41534479442393,0.0707110395730762,0.207542826179756,0.0975150895062911,0.0936496069437548,0.143054445608521,0.092187915366105,0.131534814368861,0.0758229249784429,0.0968310710093194,0.0876975321699826,0.234536802411206,0.053049761503745,0.166154442172671,0.375447296848798,0.153575289845001,0.128509069519183,0.105952495776511,0.120107918768096
"SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",-0.143350815408682,-0.0963282757764001,-0.1277885170618,-0.163521400520878,-0.128622705024051,-0.143579951645446,-0.14281809607706,-0.101355331972272,-0.101720796395385,-0.171328712158835,-0.0884229564090043,-0.00221320916303079,-0.132179070319414,0.22195295204175,-0.168742353962517,0.277768644961481,0.0573575049490016,-0.111235301508482,-0.108164692814881,-0.0816200290102237,-0.10408322846077,-0.117574798069013,-0.132463588548206,-0.157611069153266,-0.148772357437853,-0.101499423285744,-0.0813208737030012,-0.0377775995556374,-0.0582830559726814,-0.133541371376617,0.0575548404511168,0.0965577048869058,0.590865337881812,-0.0276943491706544,-0.0658605220247287,0.482045093735781,-0.0799416342415048,-0.0417759118269537,-0.0755252808970046,-0.15471412996635,-0.0655539582238971,0.0024141186193972,-0.159357327323645,-0.0906176723215448,-0.139418101908141,-0.135697106281257,0.0962677439723884,-0.0688679171388988,-0.119501113585091,0.432457501962637,0.0901079380455256,-0.0911221750466282,-0.0636750483688115,-0.102136256306891
"GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.212484648272552,0.284007227469182,0.349039810058457,0.337577652734206,0.412781729318337,0.0664456204866147,0.254122370185759,0.312210550642018,0.427429822849452,0.40327961195117,0.37349165247737,0.433665336648055,0.295144634739321,0.236699390569844,0.312176466897633,0.166109578422135,0.277658415875305,0.355071608278507,0.462132985928638,0.0560839110534034,0.167214488149197,0.300168916268462,0.221500407397753,0.162888122541017,0.553080169326892,0.43466373994576,0.551582895560305,0.531725985142417,0.48975646682784,0.437973772656646,0.276320278269865,0.396294484580907,0.248389548032164,0.509092714283649,0.523741914566043,0.320604782833169,0.278470846963535,0.33593536059237,0.340660385353526,0.0919255387518951,0.387513863592834,0.305063545839966,0.179255230970016,0.484717990615298,0.407291267153581,0.340483172465665,0.258676615872852,0.534007689378758,0.260922345345181,0.369187185468841,0.523683162673342,0.320254331448284,0.472319361094225,0.347232807067262
"FATTY_ACID_METABOLISM",0.0604456582112691,0.0695855384107339,0.0845159061527281,0.0920598371131873,0.0701081089536477,0.110482899097663,0.0739580621912839,0.0793620270095719,0.100698262485864,0.0770138016940372,0.0996310131532881,0.19778841805681,0.0859439264972598,0.210172865016945,0.0703809549569558,0.243934991576359,0.175634462090549,0.0671225965482755,0.0864756705544319,0.0955896124695759,0.0838050819402408,0.104506458995064,0.0741311964074867,0.0168379136047728,0.0826209437317991,0.103950273537684,0.0999689200848628,0.160442801803821,0.190386404584477,0.125319994242593,0.141155203356222,0.145655095912134,0.466391106116951,0.158521286119224,0.194622678483752,0.385345971131541,0.056329720450298,0.165241390927444,0.0829626515507021,0.0473256530881344,0.142288061525469,0.100400224590665,0.0909483116343915,0.0868289920124272,0.0597327777167161,0.0636773071761033,0.234988143907148,0.0952041035584755,0.0843012640941534,0.354983751863373,0.190755660168366,0.0875106432042665,0.0990839465312544,0.109538243830569
"PEROXISOMAL_PROTEIN_IMPORT",0.0430856574632429,0.109542890451709,0.103355849473752,0.0701403173288768,0.0766909455690265,0.135709303305802,0.0822333419399202,0.0819240146322828,0.0793195838787888,0.106959320910634,0.0540639188382854,0.162408509498138,0.090660049812643,0.222206400533085,0.089490221597111,0.27920525649122,0.177722375304903,0.0484067499475599,0.102656228143839,0.136478610547493,0.137778712223556,0.116883976046122,0.113035072193384,0.0192885084027671,0.0697914391259762,0.104891936429444,0.0753037611985958,0.14712391043046,0.16490627617067,0.128144609712627,0.134317628397812,0.127191500656677,0.527364202158259,0.138302603407955,0.170582412936158,0.438298743237423,0.0514465026432912,0.174625919468858,0.104616535208228,0.0664147374153305,0.108553627505125,0.0965518317130301,0.105132470480814,0.0701142684289076,0.0648302385191062,0.0719723331341567,0.220787674651724,0.0552303363951718,0.113772684675058,0.390614726854954,0.188069636849248,0.107868630304935,0.116864374388671,0.101855615691649
"BIOLOGICAL_OXIDATIONS",-0.126868918534922,-0.119428216185338,-0.125628036360676,-0.102096222642327,-0.108255894097963,-0.115468963169916,-0.164349998663116,-0.133342555808388,-0.0930362816589163,-0.129818573601011,-0.0622823507150739,0.00109840746526112,-0.142553106111983,0.210418180877469,-0.177953231344628,0.237357047943815,-0.0128620496800345,-0.135441770591567,-0.108954846638475,-0.122000516366723,-0.166808846539479,-0.127082076044178,-0.138009850806966,-0.186356020908093,-0.107181900543652,-0.157995821718736,-0.0880014005057596,-0.0658816729023235,-0.0206223204456574,-0.10053968348168,0.053675270881626,-0.0563618908705001,0.456915533340488,-0.0570101715575805,-0.0097372119558154,0.394777506413351,-0.141273872165828,-0.0911113121226802,-0.150778989034397,-0.17694485737615,-0.0707214892988108,-0.11253633970088,-0.190250338245882,-0.121953433516713,-0.142413703173055,-0.141442378729065,0.147319552127146,-0.0951423015419806,-0.156581075534116,0.344729896253328,0.0961310511490615,-0.123272019166216,-0.121167651972135,-0.0955492790934306
