"","PD1_2_PRE","PD1_4_PRE","PD1_6_PRE","PD1_15_PRE","PD1_16_PRE","PD1_19_PRE","PD1_30_PRE","PD1_35_PRE","PD1_36_PRE","PD1_44_PRE","PD1_45_PRE","PD1_46_PRE","PD1_49_PRE","PD1_50_PRE","PD1_52_PRE","PD1_53_PRE","PD1_3_PRE","PD1_5_PRE","PD1_7_PRE","PD1_9_PRE","PD1_11_PRE","PD1_12_PRE","PD1_14_PRE","PD1_18_PRE","PD1_21_PRE","PD1_23_PRE","PD1_27_PRE","PD1_34_PRE","PD1_38_PRE","PD1_40_PRE","PD1_42_PRE","PD1_54_PRE","PD1_8_PRE","PD1_10_PRE","PD1_29_PRE","PD1_47_PRE","PD1_48_PRE","PD1_13_PRE","PD1_17_PRE","PD1_25_PRE","PD1_41_PRE","ipiPD1_2_PRE","ipiPD1_6_PRE","ipiPD1_7_PRE","ipiPD1_8_PRE","ipiPD1_10_PRE","ipiPD1_12_PRE","ipiPD1_14_PRE","ipiPD1_15_PRE","ipiPD1_17_PRE","ipiPD1_20_PRE","ipiPD1_21_PRE","ipiPD1_23_PRE","ipiPD1_24_PRE","ipiPD1_25_PRE","ipiPD1_26_PRE","ipiPD1_32_PRE","ipiPD1_34_PRE","ipiPD1_37_PRE","ipiPD1_44_PRE","ipiPD1_45_PRE","ipiPD1_46_PRE","ipiPD1_47_PRE","ipiPD1_49_PRE","ipiPD1_50_PRE","ipiPD1_1_PRE","ipiPD1_13_PRE","ipiPD1_19_PRE","ipiPD1_27_PRE","ipiPD1_33_PRE","ipiPD1_35_PRE","ipiPD1_36_PRE"
"COMPLEMENT_CASCADE",0.157185922694066,0.0673968229740141,0.12241078201315,0.0415599403492684,0.0270010176070169,-0.0438754494282996,-0.036348049061313,0.0726482813259517,0.0670459980155379,0.157829786339797,0.0371897373748544,0.0155823464449455,0.0269958173052182,0.0096124804263263,0.0767113658199491,0.124302766034038,-0.00299641904464437,0.00530963193189505,0.0229292630731225,0.16818662119166,0.0468475988722073,-0.0288496196952012,0.0266164568711301,-0.00944684844782975,0.0552440491127768,0.0856879339216408,-0.0681635718170147,0.100565566756557,0.0614772263637491,0.162237062047729,0.08746216341554,0.0396193467672628,-0.0961500901226139,0.0185844806422144,-0.111579108861739,0.11878983623022,0.0646546360966998,0.0673229668547284,0.107302306750727,0.0598581570614362,0.0311322060065259,0.076516166640747,0.0357590846369851,-0.0182552309337357,0.00697307468333873,0.0342274443772705,0.166289330114626,0.0874569453442725,0.0491957441929096,0.0705677163438796,0.130437822618205,0.0876429459306158,-0.0490187920778165,0.109484817084881,-0.000685891128267676,0.0583258463921585,-0.0540309892870467,0.0909906597406069,0.0575407883366412,0.0815386563047459,0.0490380660051505,0.0831828879582664,0.0702295070419916,0.0631999017333428,0.111979800155852,0.0504711585814749,0.0711029571533915,0.142229431630674,0.075240974469647,0.00121017541544062,0.016738882340111,0.0992925603798115
"REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",-0.000598917861867983,-0.02784991704306,0.00836897542692165,-0.0260225807856947,-0.0535560832232147,-0.141034606044828,-0.0714121323933396,-0.00443077582520489,-0.0467884330259389,-0.0409610022091292,-0.0954568860563496,-0.105842526349345,-0.0805293085447872,-0.00242541746588357,-0.0532887071973047,-0.0267311225414939,-0.128796325025287,-0.0809889229311661,-0.00443207374196686,0.0113922445043435,-0.0451131215508734,-0.0105610685534753,-0.0413211958534622,0.0769574031936355,0.00112136524319437,0.0188515522210984,-0.115283430799655,-0.0411436123889859,0.0155442548480531,0.035507796707465,-0.00499491542003017,-0.0563179893384856,-0.194564597016854,-0.123290494339557,-0.184039491045013,-0.0256641417121849,-0.0723884843983446,-0.132868542017283,-0.00748577733297171,-0.051986013498953,-0.0172723775669439,-0.0324205974652498,-0.0910465977093859,-0.107617123776184,-0.0994080290600496,-0.0310027237014181,0.0764313538428057,-0.102823873679759,-0.136302726099307,-0.0209585309291339,-0.0349091160320963,-0.0407272284341694,-0.120032266931725,-0.0344785467456055,-0.0213134267582974,-0.1517032295177,-0.0813984822388555,-0.0106078887321202,-0.000978750602638335,-0.000296340907550133,0.0291598786528544,-0.0303790058256495,0.0407813039143015,-0.0393121149481272,0.0530469556447117,-0.060703796068318,-0.0625057160790936,-0.0605161834711277,-0.0388261745564126,-0.0332703593334566,-0.117857219729251,-0.0289660863119708
"FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",0.0776134626906714,-0.00856200263505776,0.0696704101949754,0.0578141853266625,-0.0220021571540438,-0.0228943901184886,-0.0154235707933405,0.112330726532118,0.0156767089705239,0.0406926623656829,0.0374178435591678,-0.00655997909130921,0.00976601590510594,0.00196008894481312,0.0367285243904561,0.0880543949629914,0.0173945407732307,0.0454346037313137,0.00875737320951714,0.0794363556389985,0.0346615303536367,0.0474498089344458,0.048839873102864,0.0487412166546172,0.0435400212652598,0.0362661981450666,-0.0499210997827597,0.047964159163081,0.0768556016783648,0.089122103137451,0.0659017892282332,0.0373230579693815,-0.0540565273319923,-0.00208941105902894,-0.0590608445558271,0.0572303461759114,0.00458827315636888,0.00388118223749263,0.03052879343374,-0.00237038267340463,0.0258606705380447,-0.0152978312035287,-0.0452967704882278,-0.0539441333598102,-0.0555115135995845,0.00276302000745407,0.158982817172404,0.064209198386741,-0.0292829883992234,0.0571895658603081,0.153912079658017,-0.0442911926947191,-0.0550691051586497,0.0220620775353085,-0.0396641932698748,-0.0451831182012484,-0.0673704712614544,0.0342702508764071,0.0566793642139791,0.0538331809476812,-0.0352923250448767,0.024943019479779,0.151532954315412,0.00753838801190698,0.0937163308158103,-0.0454163131360769,0.0717235701981806,0.0394861576564792,0.0359644738153295,-0.0192670049131728,-0.0310457321059572,0.0383282238976757
"INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",0.16461830597769,0.12224197822756,0.123898725619777,0.166090147215727,0.0822973064274544,0.0994297357199913,0.0714247536399549,0.1425736908701,0.131296155131062,0.142515231127625,0.15854196481685,0.0995805678856708,0.120969573824645,0.103307779582686,0.10784294916062,0.197016680666538,0.161993298038689,0.174227252226536,0.0972630264775262,0.137905520096384,0.176406663506946,0.131430512052678,0.107036501546788,0.140014028669172,0.122975594597221,0.0888037104251709,0.0813431458914793,0.146125114299069,0.173911445913528,0.145510424341746,0.184519398825271,0.149527058377867,-0.00317000425990382,0.106191201009829,0.0711904161970228,0.159910191462872,0.0976540424500132,0.131303663792871,0.103085167274732,0.112440197804969,0.134981719787806,0.0478276947329099,0.0613994571216306,0.00435271248128914,0.0458633648149013,0.106735369508654,0.197115066151867,0.186002340782291,0.0791409761297895,0.0945901869503424,0.23460418447148,0.0577686836848589,0.0628824284649028,0.142177503728082,0.0831188889251964,0.0736041223319951,0.0154059006054505,0.10347318684819,0.107482950527459,0.143096236954176,0.0742115918604029,0.106290201286714,0.138664007582206,0.102807712645056,0.146143798855722,0.0807435985103668,0.154179230327832,0.162762550816411,0.132341889465476,0.0672836291487871,0.0722679913860114,0.125226507485519
"PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",-0.00188363020971371,0.0467334678615285,-0.0791917418469378,0.0951695706273995,-0.0513537466752438,-0.143587363321852,-0.123826302251036,0.0231623948039316,-0.0776101319366684,-0.102684703075819,-0.0202316911536821,-0.0344431831716499,-0.0363835068502784,-0.101943322186666,-0.0558761556372614,0.0275607100700365,0.0508518351690585,-0.0526543058481396,-0.128484634771082,-0.00110851774923701,0.144660326963158,-0.0241398772815437,-0.0461602424834987,-0.0842804957523154,-0.109554663909839,-0.0786276848607791,-0.0771126670323758,-0.0918747915381929,-0.0513633121866742,-0.0588970441531763,0.0415034690768629,-0.113606006570411,-0.14252675778577,-0.0533813186522388,-0.18338995444924,0.0187117433061099,-0.133462092825052,-0.0160473342305963,-0.040582586219187,-0.0430730628287977,-0.121956564975007,-0.134934652070846,-0.130102961147957,-0.0867565165093771,-0.159557062636277,-0.12624462595138,0.140994817784984,-0.0715245499627716,-0.115303695976291,0.0457427655941908,-0.0526888384720637,-0.1162958013135,-0.20657019617136,-0.0950546197514187,-0.145762824414353,-0.103092737047778,-0.144197387473965,0.0264902283419785,-0.0868357567535328,-0.0720821779266956,-0.062729867072282,0.00958523722592329,-0.109620310168179,-0.0687015886438718,-0.0847305515564891,-0.100712823307061,-0.108738808494195,-0.093394315033486,-0.108050850382404,-0.136427999118895,-0.0859968471573379,-0.135922977330194
"RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",0.0837324089553556,0.0330376086920764,0.0312422869402546,0.0116195653045794,-0.0223381417812956,-0.124606090370538,-0.0384918021296864,0.0231423286898165,0.0213885530450839,0.0310476228048961,-0.0513878055494982,-0.0381045595074867,-0.0544397702846521,-0.00259161020709304,0.0432913057839077,0.026981501579027,-0.0497582973443663,-0.0481968894949714,-0.0234064057036548,0.0677644062218005,0.0459793676080237,-0.0222681403975191,-0.0313558676202563,0.00098574853742489,0.0549870554114808,0.0622085063826682,-0.110791156526952,-0.0262289126205973,0.0399020968355749,0.0552556267187525,0.11489961510621,-0.0445213701680471,-0.128130229751946,-0.0463308769583566,-0.203832848341036,0.0859335844897196,-0.0182398818986889,-0.0606400008518374,0.0290145143095704,-0.0189303761903975,-0.0157008692128129,-0.0602268335227524,-0.0623061765395305,-0.0614861112260884,-0.0873456101219104,-0.045767894760424,0.159371975089278,-0.0216259772165052,-0.0894215229211461,0.00254580274306469,0.11035759482565,-0.023131380857765,-0.113992545291941,-0.0451752279559017,-0.0652795501787761,-0.0435337104677033,-0.104162678199997,0.0406231004814017,0.0279279790996566,0.0250211547991418,-0.0062112131566935,0.0331300883981114,0.0728253623540456,-0.0488480350676379,0.0528513306660245,-0.115408474565575,0.0114370856181502,-0.0156978229870163,-0.0125435163441446,-0.0152365345792535,-0.0619476102783953,0.0366530340242395
"BILE_ACID_AND_BILE_SALT_METABOLISM",-0.0139411846403954,-0.0276028650070646,-0.159230917379742,-0.0458022919703386,-0.0992441879201927,-0.185479935092078,-0.155085799286254,-0.029225259133691,-0.134904660851911,-0.108213445110066,-0.0938187560685848,-0.131235489545182,-0.137196668777225,-0.0965231468025405,-0.101589032684077,0.0114315599876681,-0.0800258692329645,-0.130399178502893,-0.155116222394629,-0.0676825526215699,0.0531210020580418,-0.122158543969424,-0.142026082817452,-0.132484416903569,-0.101755871470748,-0.0721968488319192,-0.131755078657692,-0.127628347960877,-0.0754164533236027,-0.0848940967941139,-0.0836993839090437,-0.139485298078777,-0.114255106633422,-0.103458456703248,-0.171656677784293,-0.0607383490770398,-0.10446509768314,-0.137978430786256,-0.0391796652404761,-0.0864193697644787,-0.140369792655116,-0.155031248639549,-0.113426289964602,-0.169529202218906,-0.168966828354613,-0.23926287699175,-0.0316617707970924,-0.0802091717361098,-0.218143481249255,-0.13538985853219,-0.0116028885669684,-0.13004648675001,-0.244745226575233,-0.181711677567315,-0.106100358534861,-0.124837626239472,-0.180660781761354,-0.142893781585754,-0.0673759430542321,-0.14835629749659,-0.137655553229078,-0.0801199717187818,-0.148512829791522,-0.129907636099975,-0.10637592906987,-0.120606075401999,-0.0975408781510514,-0.145829650111581,-0.145436331788327,-0.158221009946256,-0.159480443659419,-0.0868565826279075
"PLASMA_LIPOPROTEIN_REMODELING",-0.0927629042482236,-0.102797225349968,-0.160464041694944,-0.0497603427869806,-0.162830402768667,-0.279602376498543,-0.260423819060413,-0.127389451343741,-0.191648207619576,-0.0811710275703919,-0.171036597734067,-0.214371990914228,-0.24757478505225,-0.142980690666562,-0.193085354597003,-0.231596516111191,-0.256768377424724,-0.163230338096823,-0.197242742654582,-0.23934449836368,-0.136256818394493,-0.185175169354446,-0.252081663833426,-0.281134117218972,-0.112237556031705,-0.212848632545454,-0.212187195533628,-0.167883063548174,-0.102331324251908,-0.153182131521446,-0.15012024739837,-0.264622427323493,-0.27116446333246,-0.250380722895918,-0.274521458718145,-0.234984222742157,-0.173002241128426,-0.294857842616513,-0.0797358870374528,-0.214017482592071,-0.234430869090999,-0.329439590116188,-0.407270658106303,-0.249332340365987,-0.227594012604618,-0.210834260295924,-0.181487654675813,-0.219344658707185,-0.293819496216663,-0.12428443118568,-0.0415134788664894,-0.174084086918509,-0.399117441986288,-0.11859779707737,-0.281521379528103,-0.32089765434062,-0.0381637817418593,-0.332385222710471,0.00728709585329584,-0.118546544553096,-0.237318527139983,-0.294628971426098,-0.077428662973702,-0.211337011356512,-0.0586419532583673,-0.357779292992052,-0.155634999838712,-0.264893756282414,-0.198081997557441,-0.127135114598009,-0.277803834338985,-0.212622663290456
"BIOLOGICAL_OXIDATIONS",-0.0860306945896837,-0.0722116514090983,-0.177500087139763,-0.0349416652035184,-0.163734186026542,-0.204424338960571,-0.196996697867135,-0.0583779801532315,-0.174769790265883,-0.163515933841477,-0.137606939121028,-0.127799979829707,-0.138419620077945,-0.190657575702106,-0.148015218664463,-0.102463937814039,-0.0616980474541401,-0.155007287258952,-0.178780382053929,-0.107714830937301,0.0135358444419141,-0.145843508218641,-0.141279920845797,-0.170836445377022,-0.203255556408688,-0.176639998526292,-0.197979026369124,-0.17844716465414,-0.138145784893892,-0.146292638305161,-0.0844290309746112,-0.191655426060705,-0.22901625535789,-0.154852947465713,-0.247537067681756,-0.0960671717670133,-0.20292688364593,-0.116718572189826,-0.127564912888965,-0.146903680747943,-0.203800761664224,-0.204325962083714,-0.209498808671018,-0.174343466383273,-0.230375818196706,-0.224975417461709,0.00528082920875177,-0.173957978575342,-0.205202225800775,-0.0948743260827149,-0.148313679922122,-0.1999998409976,-0.26228766683773,-0.173620578217077,-0.234679046671526,-0.192029538283829,-0.219557845439389,-0.087313717033676,-0.155810251791102,-0.150227894581172,-0.16210193732021,-0.0936400702889408,-0.177838278521937,-0.162727842756463,-0.165633772025793,-0.189629358672036,-0.177511875699032,-0.187376400854046,-0.181662845073922,-0.206321431977733,-0.182793131304579,-0.193412908628005
"BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",0.0694960666073953,0.141235752476319,-0.145275901763816,0.179371659591227,-0.0164792143101787,-0.0375925105829705,-0.0304340001333112,0.0647237300250529,-0.111547431464487,-0.0704007415126121,-0.0213105466375143,-0.0437951269778322,-0.00700537108860267,-0.0272391631776607,0.102863026063244,0.0458925015236043,0.124964464760809,-0.086358708172581,-0.0301998511200179,0.130409055751891,0.225307931943918,0.029376146372082,-0.00749506603385812,0.00722641163190651,0.0129837777144398,0.111194029281086,0.0263986851222331,-0.0706014860751336,0.0575688640318003,-0.0667631151294018,0.171401803803424,-0.047163113517711,-0.133494905543298,-0.0218881270030547,-0.0877441986588074,0.0747108453957716,-0.0683108471055134,-0.0513766379988705,0.163128082958862,0.0187858661938497,0.0103859322681282,-0.0202990283139152,-0.115309436699212,-0.177369876735195,-0.0826421840012599,0.102373637994805,0.0979087902279605,0.102615184933834,-0.0442490111051816,0.0960694907453529,-0.0574891544234725,-0.0198554131676497,-0.13094911938688,-0.0192645162343681,0.064110099395697,-0.0254786846648857,-0.0979900364773124,-0.0646858035928844,0.126183184356052,0.036142012829397,0.115972645076374,0.0582900135681927,-0.00870574465575454,-0.0714626084537514,0.0943210530296605,0.0175644406048635,-0.0622561981926259,-0.0302225975278648,-0.0488888651005678,0.0565018115014304,-0.0667297363951386,-0.112930140852936
