"","Pt_1_PRE","Pt_2_PRE","Pt_3_PRE","Pt_4_PRE","Pt_5_PRE","Pt_6_PRE","Pt_7_PRE","Pt_8_PRE","Pt_11_PRE","Pt_12_PRE","Pt_13_PRE","Pt_14_PRE","Pt_15_PRE","Pt_16_PRE","Pt_17_PRE","Pt_18_PRE","Pt_19_PRE","Pt_20_PRE","Pt_21_PRE","Pt_22_PRE","Pt_23_PRE","Pt_24_PRE","Pt_27_PRE","Pt_28_PRE","Pt_29_PRE","Pt_31_PRE","Pt_32_PRE","Pt_33_PRE","Pt_34_PRE","Pt_35_PRE","Pt_36_PRE","Pt_37_PRE","Pt_38_PRE","Pt_39_PRE","Pt_40_PRE","Pt_41_PRE","Pt_42_PRE","Pt_43_PRE","Pt_44_PRE","Pt_45_PRE","Pt_46_PRE","Pt_47_PRE","Pt_48_PRE","Pt_49_PRE"
"COMPLEMENT_CASCADE",-0.125228649089735,-0.10345700078929,-0.0389820878646936,-0.131938872436934,-0.0587032281657462,-0.102119775063337,-0.0310131865618182,-0.135579103720791,-0.129875658499736,-0.0659634085709928,-0.115481004118778,-0.0932452841037917,-0.0270478557271733,-0.110738707150416,-0.0954075660619859,-0.045418140030835,-0.114954001084466,-0.0401058619587063,-0.00131009522634757,-0.117845679304534,-0.131912545683073,0.0478485161987276,-0.0563955324960239,-0.103864692800791,-0.0661542257812301,-0.191307248849085,-0.041148136723349,-0.152918040987201,-0.0845431756458103,-0.0939902938446383,-0.114911196427925,0.546410886016329,-0.00908723697545576,-0.0963466264734666,-0.0862016296355873,-0.0571151725132916,0.0684439123825415,-0.106511528347925,-0.0266725739334245,0.0279747385971452,0.00139135470129286,-0.0354696751916576,-0.0125913259486542,-0.118117435085146
"REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",-0.0299797767921681,-0.130235558474103,-0.0489304344530119,-0.108662704023206,-0.0734113087394428,-0.107838357594165,-0.0618237261902733,-0.118516806905606,-0.137399980905365,-0.077292899897643,-0.0811649229923643,-0.132500907605032,-0.0739222174961525,-0.118060042061493,-0.116396604034947,-0.0901406900273018,-0.099862655922797,-0.0759049522137225,-0.0966090383111439,-0.0721097253108934,-0.115216271417609,-0.0219274977454393,-0.127051638613503,-0.0353627519606695,-0.0838593543644846,-0.201114783261856,-0.0614635276640642,-0.115778409648837,-0.0350047047968803,-0.00475589770339506,0.0222360053279097,0.462955592316618,-0.075854804879442,-0.123699988654068,-0.128324094524264,-0.0346846871173327,-0.00819624687609673,-0.118058694874246,-0.0969862564597873,-0.128110153692159,-0.0812707687950395,-0.121380349145451,-0.0697247409788304,-0.0594294461503965
"FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",-0.121363981267228,-0.155084447021613,-0.151319078754036,-0.154070832041008,-0.118647568398937,-0.152159451331327,-0.0751274013414604,-0.146776973829835,-0.140115576224645,-0.0898607407105714,-0.153173763668391,-0.145201149987679,-0.0821372362960363,-0.153832680875336,-0.108299761130374,-0.105684201966874,-0.150609783106701,-0.167363784565805,-0.107260051950179,-0.181774374846403,-0.164238103416923,-0.0910085427140774,-0.146839298086027,-0.105629573239016,-0.107702646709495,-0.177312114071618,-0.144892153482482,-0.165202002352205,-0.0877091519904225,-0.130937897256174,-0.111103071210254,0.469426985486896,-0.115927801679156,-0.162442461244879,-0.179696791608554,-0.147665123077661,-0.0556859635957406,-0.159795762678783,-0.140991363809853,-0.120842321170098,-0.100539035974851,-0.15077451414391,-0.10762343818629,-0.132305604834584
"INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION",-0.0762936253523231,-0.128935786775127,-0.0733344153660803,-0.0998895189507716,-0.0830810897475383,-0.117622399743325,-0.0591776157549615,-0.162696617103284,-0.14047404354606,-0.076853897454163,-0.100869953135226,-0.106801954307621,-0.0410588716968172,-0.138024416262748,-0.088049493270739,-0.0541929721829002,-0.113722784099004,-0.131945622129543,-0.106964914648488,-0.126398360052294,-0.115599385694792,-0.0616324806206344,-0.115835762684354,-0.0863125931719626,-0.0774827517969932,-0.174239287894914,-0.125498773413056,-0.125930052909806,-0.0893653815522508,-0.133583176094482,-0.0908843764953166,0.453000181577755,-0.105201001553471,-0.107815979626494,-0.130408249778694,-0.128656371466718,-0.0401352592980149,-0.11636086813387,-0.115127409693455,-0.0655428127375057,-0.0611941717431586,-0.10898622011102,-0.0910052752228582,-0.0993932898545366
"PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",-0.186795371821809,-0.0894083332579372,-0.111756006879152,-0.108457034483763,-0.142620985443287,-0.163869784676145,-0.125995775094075,-0.148768143122083,-0.164458622153717,-0.127400118993429,-0.176511959270718,-0.146525171816156,-0.133820540194634,-0.169149178005084,-0.0988239986241567,-0.140919391585374,-0.13947173965753,-0.184172863124708,-0.120475850115718,-0.147583003060915,-0.155113346566538,-0.154041479827263,-0.184375802380153,-0.189415673314997,-0.11127176997245,-0.189789095408777,-0.0952781315468526,-0.157823009293205,-0.166684128351613,-0.139856615795747,-0.160827087046002,0.447703891137209,-0.1396936314798,-0.0865198872538925,-0.0919565330312775,-0.12542937041791,-0.000513501802550938,-0.161125577165176,-0.143544695719021,-0.150413946816279,-0.0724919215385711,-0.122246337295872,-0.120811206643276,-0.179998484433361
"RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",-0.0477545185887835,-0.066971464921067,-0.0102586855958888,-0.0835395932870764,0.00530024437345489,-0.044644745367373,0.0143084028886518,-0.0349751176231229,-0.085904948561,-0.00955508940380697,-0.0596536000589382,-0.0634992147474748,0.00209654074027503,-0.0515406499731198,-0.0218474096538916,-0.0237337619866254,-0.0244217116716925,-0.0905897766098844,-0.00075220218398111,-0.0743729772137008,-0.0441519393611156,0.0225905110708859,-0.0347555884850708,-0.0345459005667758,-0.00129497115284724,-0.146421141194654,-0.0181534834607691,-0.0677977793630203,-0.007085798438928,-0.0133790095719243,0.00942976929045773,0.471784084284061,-0.00759396388844503,-0.0149277298252545,-0.0654098565152774,-0.0119462430601719,0.113636300265609,-0.0573639341642178,-0.0261373114896995,-0.0324492823983948,0.0410219317255189,-0.05650751827122,-0.0218567718491681,-0.0340464552012002
"BILE_ACID_AND_BILE_SALT_METABOLISM",-0.0900899820800368,-0.119360594505608,-0.110757926065512,-0.170823420829208,-0.148730855178996,-0.126495990985279,-0.158516338248597,-0.173213697512166,-0.160558972585679,-0.131323820471248,-0.174697255184858,-0.172417668984082,-0.144610144513917,-0.153335249998018,-0.172940501683115,-0.170831072011981,-0.184256061361474,-0.178649064132793,-0.119139730485426,-0.124421137544607,-0.180535765220344,-0.108050448143685,-0.179751512214851,-0.130420934309151,-0.116673401866495,-0.16524259139614,-0.144799678448003,-0.166667793898828,-0.129214490769015,-0.143607335774785,-0.12645985706374,0.47091429592083,-0.165257327821144,-0.150754721239269,-0.151023238796709,-0.134813759132261,-0.0419809511036777,-0.188849869335486,-0.157882660911544,-0.157104320335904,-0.123315857666409,-0.141315573869682,-0.163757127658612,-0.0782976412739129
"PLASMA_LIPOPROTEIN_REMODELING",-0.332504682587967,-0.399428932402988,-0.385851956072706,-0.427620529918363,-0.410503339148665,-0.386257097262623,-0.405466557690002,-0.345667699619598,-0.397644247731406,-0.125345252564427,-0.408487795434165,-0.357748059405935,-0.378795556231414,-0.396282028213513,-0.389893674086021,-0.385368958430467,-0.382366517784067,-0.378570542948093,-0.406341344431566,-0.38752800836695,-0.373481392020995,-0.354895939245549,-0.378633660333843,-0.372178443195828,-0.436293928867963,-0.399570276396532,-0.390886995603224,-0.362468741741291,-0.367758599768645,-0.423068236150755,-0.357518219187617,0.558865592736705,-0.399125926393754,-0.402345735575301,-0.435575895378991,-0.396180695088657,-0.406196106477756,-0.406929573995245,-0.388842430739403,-0.347315645863363,-0.361701329980808,-0.405712846623451,-0.416464811952012,-0.382511086098253
"BIOLOGICAL_OXIDATIONS",-0.148638732746212,-0.115033459396159,-0.11420216759272,-0.135436675289234,-0.134188967570595,-0.158639197847599,-0.126714658264426,-0.153268429022179,-0.173773607863876,-0.128812830516897,-0.154075886042466,-0.150958494555822,-0.126420093101012,-0.162815910797282,-0.119054284803158,-0.150267721088827,-0.130627907605485,-0.147583104348036,-0.123490512215837,-0.154309876413088,-0.140877061537706,-0.134237039327895,-0.183098197919774,-0.155098236350598,-0.119138461084109,-0.167958948615745,-0.0796640590903477,-0.164979553461056,-0.152447290882545,-0.136218865178805,-0.156001206605152,0.480237568774087,-0.148196653025484,-0.101414696229109,-0.114182100847013,-0.133505557569297,-0.0319039157383097,-0.141154921754752,-0.145446401792338,-0.129497304408001,-0.0794749357423119,-0.104769178009248,-0.144402969148197,-0.164862359263399
"BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",-0.0927580439079618,-0.129240259519312,-0.109014070935518,-0.144245898919604,-0.13119645792442,-0.128513888936501,-0.110476560286684,-0.0702196241336209,-0.241858061720486,-0.0266145838911235,-0.159459494098452,-0.108860827540617,-0.0797848712094996,-0.146019376698412,-0.123594745781093,-0.175258233752626,-0.179642315806406,-0.0583214486184982,-0.171429342343159,-0.0695919178467965,-0.17432055455439,-0.0681648182673357,-0.223456739426446,-0.123692946796992,-0.0624978869662033,-0.246230027603449,0.00316313062597907,-0.121252950811631,-0.10517540719453,-0.0784470622968864,-0.0347522597275144,0.546011607028846,-0.117251808688004,-0.181649091669948,-0.153370559389848,-0.10204098117099,0.0120815039685107,-0.157673099999216,-0.146765117091946,-0.157052263113503,-0.0720350032709251,-0.132352318372424,-0.060336209289453,-0.0377731174793422
