"","MGH200_FFPE_031116","MGH530_FFPE_082916","MGH42_101714_1_bam","MGHBI1_101415_bam","MGHIPIPD1001_041814_bam","MGH27_032812_bam","MGH35_091015_bam","MGH39_033114_bam","MGH208_031115_1_bam","MGH208_031115_2_bam","MGH253_111214_bam","MGH409_113015_bam","MGH62_10_2_13_S6","MGH148_6_5_14_S9","MGH272_121914","MGH272_020415","MGH422_092815","MGHPDL002_061812","MGH98_030314"
"INITIAL_TRIGGERING_OF_COMPLEMENT",0.674651454261545,0.632533472442355,0.530199867381355,0.597797958591723,0.341985742680535,0.438134992587734,0.573964318155939,0.294486328148766,0.586687937784738,0.430736379371075,0.00102517957971169,0.535160981054323,-0.0106616378419156,0.383479976731531,0.636798214764992,0.655084293244784,0.566184234230413,0.567910449540922,0.172434666274092
"DISEASES_OF_IMMUNE_SYSTEM",1.04206568028095,0.892924977199594,0.853233917318646,0.910563235303769,0.818710085661032,0.779628384192132,0.814347701453077,0.731854103429267,0.738712390918639,0.704298022954044,0.512603920804105,0.729383215985595,0.721344009470365,0.969875830710495,0.824398190596299,0.875825723899103,0.839613627244325,0.913084325423141,0.64412017567757
"CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND",0.966506551259319,0.813752159171569,0.68582147521478,0.85947011035754,0.91793535430219,0.744866602504052,0.939312650497545,0.575231436508031,0.781867314815843,0.655067252517581,0.43409379616066,0.920723971535475,0.818941377916769,0.87548797202416,0.923279229883691,0.935626407405622,0.907052581576403,0.871993063143669,0.582000370048984
"SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",0.239698682999864,0.0420656802809532,0.109951372408649,0.114950856773426,0.0721010647447532,0.0216867504226128,-0.0299197881699148,-0.00522008928238061,-0.00125913732187309,-0.0319909438519788,0.0471415058191111,0.276287007685525,0.042776845061839,-0.0285560474107585,-0.0225596394958823,0.0200629459692282,0.0187311461363435,-0.0366376938302635,0.0642266698481478
"RIPK1_MEDIATED_REGULATED_NECROSIS",0.903932288684414,0.73155562024894,0.572777355469698,0.758711336192156,0.749973984310243,0.557833688742956,0.891118753877324,0.568807641744328,0.728125340506352,0.571485739599626,0.245387492281019,0.920650490466489,0.77296377183764,0.960002800422174,0.941576685075031,0.963362306169737,0.918779795006824,0.862904228288359,0.517519409719331
"CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",0.893135104698127,0.680441435894449,0.720600092960991,0.735312261026368,0.812953001579401,0.656096919259358,0.781804783712018,0.520938312442509,0.722330088949962,0.64376959763098,0.490195276894187,0.774532169825852,0.744962719054594,0.765863517769588,0.755106066975403,0.763242288071749,0.755804869975861,0.743913569665391,0.515022219366947
"PEROXISOMAL_LIPID_METABOLISM",0.328130899776232,0.272105332160732,0.274740180505132,0.332049311379172,0.478117939620443,0.291854093510106,0.164387935579468,0.23150988091684,0.137106017874108,0.208862186907084,0.176927314993773,0.251555144017246,0.324478653693734,0.315838705004548,0.17938813499098,0.171241791724521,0.308875946822812,0.159917428477958,0.259292237599061
"OTHER_INTERLEUKIN_SIGNALING",0.773962937292681,0.513573344847664,0.542601543564576,0.788949705785494,0.958464387320529,0.390003918977774,0.788026480299116,0.687826448255034,0.721594490787908,0.659525538400997,0.348984927357204,0.600328825270845,0.397258618909705,0.666923985834621,0.778547382709334,0.809076628438452,0.733364505288294,0.75138875250467,0.488429761874257
"GPVI_MEDIATED_ACTIVATION_CASCADE",0.569580373758881,0.300917111189042,0.372025087336229,0.448223568543072,0.469546218618398,0.204225935569785,0.562021655043331,0.231216104527363,0.370203352700091,0.291221103154694,0.065130870738633,0.337189684232101,0.238203363153246,0.389602868954229,0.574797607179887,0.622011749082167,0.433171823828894,0.505469798412944,0.173370222061163
"PEROXISOMAL_PROTEIN_IMPORT",0.468922034549657,0.35579450213003,0.586127298467901,0.612799116768552,0.760315169207316,0.506790182518767,0.423196889251758,0.451240515286879,0.347543543040422,0.406576137385609,0.456845082072222,0.459885125911831,0.49335506925823,0.478212042794008,0.447394917692905,0.44313679416633,0.49868287382443,0.378618845834136,0.449678501070981
"NICOTINATE_METABOLISM",0.636868204072007,0.547355085126906,0.445200242397462,0.676739192313267,0.590363388456919,0.510816607561136,0.70564135167283,0.529906564178162,0.531235900437518,0.473814968405885,0.281055658411264,0.6349688527947,0.609272403335568,0.602100128824071,0.624522361924571,0.628155549431066,0.611757669799734,0.589076375822848,0.422018274164779
"TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY",0.242153885013819,0.273985752922959,0.410071412947797,0.462001577709905,0.322683005323633,0.201533634805328,0.634926786293261,0.208561765608429,0.420278686810429,0.363941851424605,0.130923910469575,0.39118307186424,0.0109424681303923,0.241178381019367,0.594453907769861,0.670582199479302,0.56794695918856,0.690177149143491,0.0597730946814321
"ARACHIDONIC_ACID_METABOLISM",0.464955698799249,0.245258498939802,0.100043909032142,0.270939092537307,0.0798057933355469,0.121755223210628,0.364731606904474,0.0570434761518843,0.280848926021501,0.230022911217792,0.180812102023527,0.31132918008061,-0.0301241692895046,0.175902712657514,0.204038395475103,0.237325050750987,0.148517131289165,0.22560040291517,0.0553269690344355
"ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS",0.943748789827204,0.787055955947764,1.02853014239647,1.07210106474475,0.982960538032423,0.835900281877849,0.968009056148021,0.86531712267799,0.903986648942059,0.825874026122771,0.701720228087201,0.942571425042164,0.573132996167484,0.648995300102188,0.894562119575159,0.926156726392531,0.93359321286915,0.912971186820506,0.778436602199131
