"","Pt103_Pre","Pt106_Pre","Pt11_Pre","Pt17_Pre","Pt1_Pre","Pt24_Pre","Pt27_Pre","Pt28_Pre","Pt29_Pre","Pt31_Pre","Pt39_Pre","Pt46_Pre","Pt47_Pre","Pt52_Pre","Pt5_Pre","Pt62_Pre","Pt66_Pre","Pt78_Pre","Pt84_Pre","Pt85_Pre","Pt8_Pre","Pt90_Pre","Pt9_Pre","Pt101_Pre","Pt18_Pre","Pt30_Pre","Pt34_Pre","Pt3_Pre","Pt44_Pre","Pt48_Pre","Pt49_Pre","Pt72_Pre","Pt94_Pre","Pt10_Pre","Pt2_Pre","Pt26_Pre","Pt36_Pre","Pt37_Pre","Pt38_Pre","Pt4_Pre","Pt59_Pre","Pt65_Pre","Pt67_Pre","Pt77_Pre","Pt79_Pre","Pt82_Pre","Pt89_Pre","Pt92_Pre","Pt98_Pre"
"INITIAL_TRIGGERING_OF_COMPLEMENT",0.49127131603478,0.340499945622381,0.35560469129883,0.0968415643342154,0.321207566503296,0.40385340516534,0.227773064538478,0.250155245436469,0.364716159312634,0.375957349737446,0.0100266035190636,0.496781801022406,0.456799550508953,0.705428058425441,0.32023713595514,0.0210165158343534,0.192674465979587,-0.056760291808602,0.198307814966871,0.0591613853794922,0.363162956383938,0.336766269708437,0.245211396995,0.456108568825593,0.383701833049803,0.0427626287629277,0.463803592434685,0.151732514928618,0.329433032934368,0.806921329255117,0.475095133876756,0.124517506309367,0.333633096974507,0.132783848193489,0.424189671452338,0.192058230802275,0.498989016938489,0.253577685446184,0.0834211395030553,0.222997216897278,0.373546907149069,0.351545891269454,0.227765357252248,0.441147779839747,0.20586721043329,0.529877486959491,0.283316043458899,0.444319407453411,0.18246442737446
"DISEASES_OF_IMMUNE_SYSTEM",0.53796145829457,0.489831784142177,0.482640904317997,0.334207300223775,0.522375381696024,0.675294753290729,0.400376164092356,0.437880379796023,0.436003278868801,0.459973496458965,0.244045673225299,0.623276281066263,0.55582351001231,0.455696591634672,0.540861459505332,0.348388296832194,0.328340997598224,0.266529697823916,0.364524494600977,0.408089148905338,0.499520131250209,0.52943110084127,0.390572306656554,0.700187890121611,0.601083214062864,0.403066978760431,0.616887814742479,0.405822886209685,0.490225562788732,0.477518734357042,0.558592516853068,0.372223609776382,0.455693140114678,0.396373656105418,0.60694055328654,0.426176510092222,0.563487625560814,0.365235285498523,0.349316414302569,0.397328666726142,0.533927498724114,0.527934522888136,0.401839879770879,0.629648326223297,0.422493584056942,0.420924214465541,0.42629838953477,0.493672031167059,0.416548091570401
"CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND",0.489984457036655,0.418534657092528,0.444301949835266,0.305173417915664,0.480838296154352,0.536422494060086,0.297983777795919,0.337465903758911,0.353167369841664,0.389983724077325,0.165577958576618,0.533465480299548,0.41359150335083,0.382334002574927,0.453985493198754,0.258123370696554,0.228241021479149,0.143287658635072,0.297536838669647,0.237398133279118,0.387512567990845,0.418276601375885,0.234623691244961,0.595973397617563,0.45846029067628,0.225167035892772,0.531347179617189,0.239568198655426,0.413704235834111,0.415522002129524,0.523659306526554,0.244710625388904,0.338916526266096,0.285104468616207,0.459724996845677,0.275154990184342,0.436362984489511,0.289294945286704,0.198279004034486,0.331286726928446,0.467777673262093,0.377963648143122,0.387685037237629,0.52351773601326,0.362320291264728,0.363832048951949,0.383443189802269,0.487462790548319,0.28727430846321
"SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL",0.125287786945922,-0.0236437619541887,-0.0175455592695552,-0.0186088706714367,-0.0576208452236946,0.191481215453404,-0.00743367036029795,-0.0164671890219324,-0.0376152944004565,-0.0271339519385995,-0.101942120753861,0.147374385177441,-0.0631392055876084,0.553484807751447,-0.0728540722881377,-0.126133370691468,-0.0607801573577416,-0.0727336359379325,0.0340800842939829,-0.0240167070925113,-0.0221971886697787,-0.0359502983284834,-0.0954272236348812,-0.107582484649949,-0.0792660099336441,-0.086486642778477,0.0270508435648674,-0.101059820973174,-0.0633634103711764,0.725169540539039,0.221669673303207,-0.074351472760884,-0.0171453105059916,-0.0519525204993327,-0.05325575843959,-0.0691340581607748,0.264624477443626,0.0174046941320776,-0.035515015275686,-0.0952156519536808,-0.00741911658959034,-0.0309593097078586,0.244152141151141,-0.0399995705480579,-0.0546461799794518,0.194568239561581,0.00318732968535674,-0.0562219039659597,-0.0960151429772751
"RIPK1_MEDIATED_REGULATED_NECROSIS",0.522761630696469,0.3915103927113,0.544411068942861,0.244606274782133,0.501598652688012,0.605923587399964,0.320161134461084,0.342926901685035,0.379594232687938,0.397503770811087,0.0607304651653165,0.560643596792933,0.484995849607909,0.388076212545611,0.538529377502359,0.198081240667822,0.218220427949406,0.095073234947033,0.132423677859974,0.215726566993788,0.424957352093518,0.413426129163297,0.234302783203242,0.666885903618811,0.540220399720009,0.231416440720369,0.558381460753635,0.248141921581291,0.470096503696021,0.470006817977653,0.572591378476854,0.172379758965761,0.345164700255619,0.221533227192435,0.438158223544448,0.344898212866393,0.47143274301906,0.341387974729267,0.0965333086497425,0.290705125706135,0.493971273620867,0.378852027594442,0.493630376121258,0.593384469815263,0.324614782663152,0.326463167826423,0.446579383247411,0.531663455399846,0.19495475444786
"CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",0.387291222387835,0.356540475141415,0.335316976624868,0.242859616468455,0.390723667800866,0.439368004149189,0.21816351072621,0.287390894926747,0.315639791371118,0.316732275542504,0.189045202340928,0.452856174459503,0.351456794973501,0.311823576757251,0.359207604623062,0.239148732145098,0.214177819395878,0.171025836543055,0.245911809329895,0.217170047945502,0.346173988058646,0.329474002909314,0.212715330471831,0.469046830617623,0.371044620541205,0.151897651339286,0.464288549323846,0.214672815226673,0.363695091290573,0.354025065405767,0.419762433240154,0.205050260388604,0.274299151099615,0.289815236880232,0.42265575482843,0.22945493003469,0.363383609978416,0.244647210743516,0.188418919293851,0.295557362325425,0.385673406504947,0.323189281812335,0.32546722720676,0.41158131954734,0.255353693276008,0.299203076367539,0.316974390693646,0.399234039717362,0.228299943028459
"PEROXISOMAL_LIPID_METABOLISM",0.240696906351137,0.134629486591678,0.130504577491081,0.203892140229368,0.184033146576933,0.258011621237499,0.146352188599645,0.143767401359837,0.122167890777009,0.203800962676634,0.0936711753700604,0.263456628561983,0.143769331032433,0.495623703890754,0.215359077529566,0.213480637346237,0.197644581093818,0.172216959862332,0.205761123438882,0.271563595078082,0.143156258388197,0.133009816909369,0.100217858259373,0.110995505478058,0.129674971895305,0.124249119455143,0.229836990680198,0.130256631325031,0.0685733722320816,0.676073115033693,0.220407085216826,0.21222250680154,0.171470574008252,0.121773183217347,0.142950113399822,0.124703996868591,0.246427598401395,0.132502917053016,0.204443075501616,0.0990612205967296,0.151875055405412,0.167776308890184,0.328416017392906,0.152952397148173,0.238004760695042,0.250615676363003,0.185835286221976,0.103021881629853,0.174421898450287
"OTHER_INTERLEUKIN_SIGNALING",0.593656894179525,0.396436701252229,0.51412747572588,0.336727378427985,0.505392335344196,0.583900387252224,0.467226609194267,0.388697310005432,0.480209116685874,0.457720706534171,0.153891602477453,0.589950781890324,0.533718676016395,0.447725382117223,0.49852202456974,0.274350318071443,0.210866842859065,0.218283077669145,0.260297198818177,0.281036533436694,0.488543152393835,0.467020612402546,0.390749926236475,0.609053965960408,0.474506150056757,0.273796073164619,0.61939519763197,0.274041590837795,0.435410531421838,0.566151390475351,0.548724105033227,0.225716757896054,0.3785335037614,0.193768237576834,0.544280514815157,0.371871052407888,0.532468061385693,0.486509014949406,0.320816710287724,0.374304976750076,0.522335969385239,0.438692608833055,0.454476686869957,0.553578602830822,0.283366266818346,0.432258707125864,0.459836716411324,0.488730318571854,0.283059172948636
"GPVI_MEDIATED_ACTIVATION_CASCADE",0.366394543144266,0.209201587371997,0.279986093256833,0.100195442025138,0.35886762501265,0.47457372090229,0.268261705075315,0.213655151354134,0.230682838772652,0.247414021528153,-0.00579386640281821,0.481537427380391,0.264120077295909,0.168032164180771,0.378902072833582,0.1329019663873,0.0730183881154037,0.0886236876381196,0.0622206009178998,0.106506466928819,0.244321397842435,0.287978079371892,0.190739591132371,0.567298065076299,0.435842029401924,0.0741003510979213,0.503154229223764,0.174207082636362,0.261883421689804,0.304889601822926,0.388650158761168,0.104226617888051,0.293844472353976,0.115349887010858,0.364843188412297,0.0984285921230837,0.358526449596199,0.143094097227476,0.175267790167489,0.234899754523229,0.351898349778659,0.258601718225715,0.20418466336611,0.429141896182645,0.116480944443661,0.220010351128969,0.192733720497955,0.322885881587618,0.120983362814057
"PEROXISOMAL_PROTEIN_IMPORT",0.371970215541139,0.26131378153788,0.224239136248469,0.2789438283308,0.271162459896555,0.355052704511663,0.240366878694563,0.219255104112937,0.224994394748763,0.275946562587956,0.212012033107354,0.368341667966638,0.24575533004368,0.500725165915057,0.289243050901786,0.291620020155039,0.271205518437668,0.301289706691542,0.292512736277656,0.331305911464271,0.229481022837976,0.23611330962044,0.195596734884245,0.248622082256001,0.250855236440456,0.207119956513855,0.354519285934228,0.22279059607436,0.192495544551037,0.648700162667753,0.304646946794333,0.280250844217511,0.265727106575334,0.216308287581895,0.238610081775196,0.195462271284133,0.327774769217197,0.227278311067814,0.278445234747501,0.201343186480816,0.266472840047357,0.280013598769207,0.356527194876124,0.22621439053382,0.268783352841602,0.324085524017833,0.258330735230766,0.221932198608399,0.243759751833849
